"","cell","treat","metacell","color","cell_type"
"1","CTC3_p1.CTC3_p1001","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"2","CTC3_p1.CTC3_p1002","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"3","CTC3_p1.CTC3_p1003","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"4","CTC3_p1.CTC3_p1005","BMP4_2ug","M106.71","#53f1fc","Cardiopharyngeal mesoderm"
"5","CTC3_p1.CTC3_p1007","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"6","CTC3_p1.CTC3_p1008","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"7","CTC3_p1.CTC3_p1009","BMP4_2ug","M1944.15","#C594BF","Early nascent mesoderm"
"8","CTC3_p1.CTC3_p1011","BMP4_2ug","M938.32","#635547","Epiblast"
"9","CTC3_p1.CTC3_p1012","BMP4_2ug","M948.23","#635547","Epiblast"
"10","CTC3_p1.CTC3_p1013","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"11","CTC3_p1.CTC3_p1014","BMP4_2ug","M1978.41","#DFCDE4","Late nascent mesoderm"
"12","CTC3_p1.CTC3_p1015","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"13","CTC3_p1.CTC3_p1016","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"14","CTC3_p1.CTC3_p1017","BMP4_2ug","M987.37","#90BF75","Definitive ectoderm"
"15","CTC3_p1.CTC3_p1018","BMP4_2ug","M950.86","#90BF75","Definitive ectoderm"
"16","CTC3_p1.CTC3_p1019","BMP4_2ug","M1518.42","#ffd854","Chorion progenitors"
"17","CTC3_p1.CTC3_p1021","BMP4_2ug","M1978.41","#DFCDE4","Late nascent mesoderm"
"18","CTC3_p1.CTC3_p1023","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"19","CTC3_p1.CTC3_p1024","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"20","CTC3_p1.CTC3_p1025","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"21","CTC3_p1.CTC3_p1026","BMP4_2ug","M743.24","#cc7818","Amnion/Chorion progenitor"
"22","CTC3_p1.CTC3_p1027","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"23","CTC3_p1.CTC3_p1028","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"24","CTC3_p1.CTC3_p1029","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"25","CTC3_p1.CTC3_p1031","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"26","CTC3_p1.CTC3_p1033","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"27","CTC3_p1.CTC3_p1034","BMP4_2ug","M2045.92","#DABE99","Primitive streak"
"28","CTC3_p1.CTC3_p1035","BMP4_2ug","M1010.58","#d6616b","EPC progenitors"
"29","CTC3_p1.CTC3_p1036","BMP4_2ug","M1010.58","#d6616b","EPC progenitors"
"30","CTC3_p1.CTC3_p1038","BMP4_2ug","M1077.15","#d6616b","EPC progenitors"
"31","CTC3_p1.CTC3_p1039","BMP4_2ug","M995.99","#90BF75","Definitive ectoderm"
"32","CTC3_p1.CTC3_p1040","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"33","CTC3_p1.CTC3_p1041","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"34","CTC3_p1.CTC3_p1042","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"35","CTC3_p1.CTC3_p1043","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"36","CTC3_p1.CTC3_p1044","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"37","CTC3_p1.CTC3_p1045","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"38","CTC3_p1.CTC3_p1046","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"39","CTC3_p1.CTC3_p1047","BMP4_2ug","M899.08","#635547","Epiblast"
"40","CTC3_p1.CTC3_p1048","BMP4_2ug","M771.80","#cc7818","Amnion/Chorion progenitor"
"41","CTC3_p1.CTC3_p1053","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"42","CTC3_p1.CTC3_p1054","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"43","CTC3_p1.CTC3_p1055","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"44","CTC3_p1.CTC3_p1056","BMP4_2ug","M989.95","#90BF75","Definitive ectoderm"
"45","CTC3_p1.CTC3_p1057","BMP4_2ug","M1231.34","#7F6874","ExE visceral endoderm"
"46","CTC3_p1.CTC3_p1059","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"47","CTC3_p1.CTC3_p1060","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"48","CTC3_p1.CTC3_p1061","BMP4_2ug","M995.99","#90BF75","Definitive ectoderm"
"49","CTC3_p1.CTC3_p1062","BMP4_2ug","M2393.47","#C594BF","Early nascent mesoderm"
"50","CTC3_p1.CTC3_p1063","BMP4_2ug","M1077.15","#d6616b","EPC progenitors"
"51","CTC3_p1.CTC3_p1064","BMP4_2ug","M861.32","#cc7818","Amnion/Chorion progenitor"
"52","CTC3_p1.CTC3_p1065","BMP4_2ug","M833.11","#cc7818","Amnion/Chorion progenitor"
"53","CTC3_p1.CTC3_p1066","BMP4_2ug","M943.40","#635547","Epiblast"
"54","CTC3_p1.CTC3_p1067","BMP4_2ug","M1452.88","#EF5A9D","Gut"
"55","CTC3_p1.CTC3_p1069","BMP4_2ug","M981.91","#90BF75","Definitive ectoderm"
"56","CTC3_p1.CTC3_p1073","BMP4_2ug","M1455.31","#EF5A9D","Gut"
"57","CTC3_p1.CTC3_p1074","BMP4_2ug","M116.01","#C594BF","Early nascent mesoderm"
"58","CTC3_p1.CTC3_p1076","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"59","CTC3_p1.CTC3_p1077","BMP4_2ug","M108.32","#53f1fc","Cardiopharyngeal mesoderm"
"60","CTC3_p1.CTC3_p1078","BMP4_2ug","M105.51","#C594BF","Early nascent mesoderm"
"61","CTC3_p1.CTC3_p1082","BMP4_2ug","M108.32","#53f1fc","Cardiopharyngeal mesoderm"
"62","CTC3_p1.CTC3_p1083","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"63","CTC3_p1.CTC3_p1084","BMP4_2ug","M2393.47","#C594BF","Early nascent mesoderm"
"64","CTC3_p1.CTC3_p1085","BMP4_2ug","M972.40","#635547","Epiblast"
"65","CTC3_p1.CTC3_p1088","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"66","CTC3_p1.CTC3_p1089","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"67","CTC3_p1.CTC3_p1090","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"68","CTC3_p1.CTC3_p1091","BMP4_2ug","M1093.52","#67000d","TGC progenitors"
"69","CTC3_p1.CTC3_p1093","BMP4_2ug","M961.75","#90BF75","Definitive ectoderm"
"70","CTC3_p1.CTC3_p1094","BMP4_2ug","M1452.88","#EF5A9D","Gut"
"71","CTC3_p1.CTC3_p1095","BMP4_2ug","M936.27","#90BF75","Definitive ectoderm"
"72","CTC3_p1.CTC3_p1096","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"73","CTC3_p1.CTC3_p1097","BMP4_2ug","M974.83","#90BF75","Definitive ectoderm"
"74","CTC3_p1.CTC3_p1098","BMP4_2ug","M1455.31","#EF5A9D","Gut"
"75","CTC3_p1.CTC3_p1099","BMP4_2ug","M978.79","#DABE99","Primitive streak"
"76","CTC3_p1.CTC3_p1100","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"77","CTC3_p1.CTC3_p1101","BMP4_2ug","M978.79","#DABE99","Primitive streak"
"78","CTC3_p1.CTC3_p1103","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"79","CTC3_p1.CTC3_p1104","BMP4_2ug","M833.11","#cc7818","Amnion/Chorion progenitor"
"80","CTC3_p1.CTC3_p1105","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"81","CTC3_p1.CTC3_p1106","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"82","CTC3_p1.CTC3_p1107","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"83","CTC3_p1.CTC3_p1108","BMP4_2ug","M2435.05","#0F4A9C","Node/Notochord"
"84","CTC3_p1.CTC3_p1109","BMP4_2ug","M989.95","#90BF75","Definitive ectoderm"
"85","CTC3_p1.CTC3_p1111","BMP4_2ug","M948.23","#635547","Epiblast"
"86","CTC3_p1.CTC3_p1112","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"87","CTC3_p1.CTC3_p1113","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"88","CTC3_p1.CTC3_p1114","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"89","CTC3_p1.CTC3_p1115","BMP4_2ug","M903.97","#635547","Epiblast"
"90","CTC3_p1.CTC3_p1116","BMP4_2ug","M2435.05","#0F4A9C","Node/Notochord"
"91","CTC3_p1.CTC3_p1117","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"92","CTC3_p1.CTC3_p1118","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"93","CTC3_p1.CTC3_p1119","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"94","CTC3_p1.CTC3_p1120","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"95","CTC3_p1.CTC3_p1121","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"96","CTC3_p1.CTC3_p1122","BMP4_2ug","M1978.41","#DFCDE4","Late nascent mesoderm"
"97","CTC3_p1.CTC3_p1123","BMP4_2ug","M732.76","#8870ad","ExE mesoderm"
"98","CTC3_p1.CTC3_p1124","BMP4_2ug","M108.32","#53f1fc","Cardiopharyngeal mesoderm"
"99","CTC3_p1.CTC3_p1125","BMP4_2ug","M1530.53","#ffd854","Chorion progenitors"
"100","CTC3_p1.CTC3_p1126","BMP4_2ug","M1944.15","#C594BF","Early nascent mesoderm"
"101","CTC3_p1.CTC3_p1128","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"102","CTC3_p1.CTC3_p1129","BMP4_2ug","M106.71","#53f1fc","Cardiopharyngeal mesoderm"
"103","CTC3_p1.CTC3_p1130","BMP4_2ug","M833.11","#cc7818","Amnion/Chorion progenitor"
"104","CTC3_p1.CTC3_p1131","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"105","CTC3_p1.CTC3_p1132","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"106","CTC3_p1.CTC3_p1133","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"107","CTC3_p1.CTC3_p1134","BMP4_2ug","M903.97","#635547","Epiblast"
"108","CTC3_p1.CTC3_p1135","BMP4_2ug","M948.23","#635547","Epiblast"
"109","CTC3_p1.CTC3_p1137","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"110","CTC3_p1.CTC3_p1139","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"111","CTC3_p1.CTC3_p1140","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"112","CTC3_p1.CTC3_p1142","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"113","CTC3_p1.CTC3_p1143","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"114","CTC3_p1.CTC3_p1145","BMP4_2ug","M105.51","#C594BF","Early nascent mesoderm"
"115","CTC3_p1.CTC3_p1147","BMP4_2ug","M2020.42","#DFCDE4","Late nascent mesoderm"
"116","CTC3_p1.CTC3_p1148","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"117","CTC3_p1.CTC3_p1149","BMP4_2ug","M989.95","#90BF75","Definitive ectoderm"
"118","CTC3_p1.CTC3_p1150","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"119","CTC3_p1.CTC3_p1151","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"120","CTC3_p1.CTC3_p1152","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"121","CTC3_p1.CTC3_p1153","BMP4_2ug","M1093.52","#67000d","TGC progenitors"
"122","CTC3_p1.CTC3_p1154","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"123","CTC3_p1.CTC3_p1155","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"124","CTC3_p1.CTC3_p1156","BMP4_2ug","M948.23","#635547","Epiblast"
"125","CTC3_p1.CTC3_p1158","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"126","CTC3_p1.CTC3_p1161","BMP4_2ug","M1518.42","#ffd854","Chorion progenitors"
"127","CTC3_p1.CTC3_p1162","BMP4_2ug","M899.08","#635547","Epiblast"
"128","CTC3_p1.CTC3_p1163","BMP4_2ug","M771.80","#cc7818","Amnion/Chorion progenitor"
"129","CTC3_p1.CTC3_p1165","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"130","CTC3_p1.CTC3_p1166","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"131","CTC3_p1.CTC3_p1167","BMP4_2ug","M910.62","#9e6762","Caudal epiblast"
"132","CTC3_p1.CTC3_p1168","BMP4_2ug","M108.32","#53f1fc","Cardiopharyngeal mesoderm"
"133","CTC3_p1.CTC3_p1169","BMP4_2ug","M116.01","#C594BF","Early nascent mesoderm"
"134","CTC3_p1.CTC3_p1170","BMP4_2ug","M861.32","#cc7818","Amnion/Chorion progenitor"
"135","CTC3_p1.CTC3_p1171","BMP4_2ug","M78.77","#C594BF","Early nascent mesoderm"
"136","CTC3_p1.CTC3_p1172","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"137","CTC3_p1.CTC3_p1174","BMP4_2ug","M948.23","#635547","Epiblast"
"138","CTC3_p1.CTC3_p1175","BMP4_2ug","M1010.58","#d6616b","EPC progenitors"
"139","CTC3_p1.CTC3_p1176","BMP4_2ug","M938.32","#635547","Epiblast"
"140","CTC3_p1.CTC3_p1177","BMP4_2ug","M989.95","#90BF75","Definitive ectoderm"
"141","CTC3_p1.CTC3_p1179","BMP4_2ug","M910.62","#9e6762","Caudal epiblast"
"142","CTC3_p1.CTC3_p1181","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"143","CTC3_p1.CTC3_p1182","BMP4_2ug","M2486.53","#67000d","TGC progenitors"
"144","CTC3_p1.CTC3_p1183","BMP4_2ug","M106.71","#53f1fc","Cardiopharyngeal mesoderm"
"145","CTC3_p1.CTC3_p1184","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"146","CTC3_p1.CTC3_p1185","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"147","CTC3_p1.CTC3_p1186","BMP4_2ug","M1455.31","#EF5A9D","Gut"
"148","CTC3_p1.CTC3_p1187","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"149","CTC3_p1.CTC3_p1188","BMP4_2ug","M918.97","#90BF75","Definitive ectoderm"
"150","CTC3_p1.CTC3_p1189","BMP4_2ug","M960.97","#DABE99","Primitive streak"
"151","CTC3_p1.CTC3_p1190","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"152","CTC3_p1.CTC3_p1191","BMP4_2ug","M972.40","#635547","Epiblast"
"153","CTC3_p1.CTC3_p1192","BMP4_2ug","M987.37","#90BF75","Definitive ectoderm"
"154","CTC3_p1.CTC3_p1193","BMP4_2ug","M934.58","#635547","Epiblast"
"155","CTC3_p1.CTC3_p1195","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"156","CTC3_p1.CTC3_p1196","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"157","CTC3_p1.CTC3_p1197","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"158","CTC3_p1.CTC3_p1199","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"159","CTC3_p1.CTC3_p1200","BMP4_2ug","M2020.42","#DFCDE4","Late nascent mesoderm"
"160","CTC3_p1.CTC3_p1201","BMP4_2ug","M1924.81","#C594BF","Early nascent mesoderm"
"161","CTC3_p1.CTC3_p1202","BMP4_2ug","M918.97","#90BF75","Definitive ectoderm"
"162","CTC3_p1.CTC3_p1208","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"163","CTC3_p1.CTC3_p1209","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"164","CTC3_p1.CTC3_p1210","BMP4_2ug","M899.08","#635547","Epiblast"
"165","CTC3_p1.CTC3_p1213","BMP4_2ug","M2486.53","#67000d","TGC progenitors"
"166","CTC3_p1.CTC3_p1214","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"167","CTC3_p1.CTC3_p1215","BMP4_2ug","M2435.05","#0F4A9C","Node/Notochord"
"168","CTC3_p1.CTC3_p1216","BMP4_2ug","M2020.42","#DFCDE4","Late nascent mesoderm"
"169","CTC3_p1.CTC3_p1217","BMP4_2ug","M948.23","#635547","Epiblast"
"170","CTC3_p1.CTC3_p1218","BMP4_2ug","M743.24","#cc7818","Amnion/Chorion progenitor"
"171","CTC3_p1.CTC3_p1219","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"172","CTC3_p1.CTC3_p1220","BMP4_2ug","M938.32","#635547","Epiblast"
"173","CTC3_p1.CTC3_p1221","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"174","CTC3_p1.CTC3_p1222","BMP4_2ug","M899.08","#635547","Epiblast"
"175","CTC3_p1.CTC3_p1223","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"176","CTC3_p1.CTC3_p1224","BMP4_2ug","M903.97","#635547","Epiblast"
"177","CTC3_p1.CTC3_p1225","BMP4_2ug","M116.01","#C594BF","Early nascent mesoderm"
"178","CTC3_p1.CTC3_p1226","BMP4_2ug","M732.76","#8870ad","ExE mesoderm"
"179","CTC3_p1.CTC3_p1228","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"180","CTC3_p1.CTC3_p1230","BMP4_2ug","M960.97","#DABE99","Primitive streak"
"181","CTC3_p1.CTC3_p1231","BMP4_2ug","M732.76","#8870ad","ExE mesoderm"
"182","CTC3_p1.CTC3_p1232","BMP4_2ug","M938.32","#635547","Epiblast"
"183","CTC3_p1.CTC3_p1233","BMP4_2ug","M833.11","#cc7818","Amnion/Chorion progenitor"
"184","CTC3_p1.CTC3_p1234","BMP4_2ug","M961.75","#90BF75","Definitive ectoderm"
"185","CTC3_p1.CTC3_p1236","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"186","CTC3_p1.CTC3_p1237","BMP4_2ug","M999.77","#635547","Epiblast"
"187","CTC3_p1.CTC3_p1238","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"188","CTC3_p1.CTC3_p1239","BMP4_2ug","M2033.63","#C594BF","Early nascent mesoderm"
"189","CTC3_p1.CTC3_p1240","BMP4_2ug","M989.95","#90BF75","Definitive ectoderm"
"190","CTC3_p1.CTC3_p1241","BMP4_2ug","M732.76","#8870ad","ExE mesoderm"
"191","CTC3_p1.CTC3_p1242","BMP4_2ug","M961.75","#90BF75","Definitive ectoderm"
"192","CTC3_p1.CTC3_p1243","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"193","CTC3_p1.CTC3_p1244","BMP4_2ug","M1093.52","#67000d","TGC progenitors"
"194","CTC3_p1.CTC3_p1246","BMP4_2ug","M999.77","#635547","Epiblast"
"195","CTC3_p1.CTC3_p1247","BMP4_2ug","M899.08","#635547","Epiblast"
"196","CTC3_p1.CTC3_p1248","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"197","CTC3_p1.CTC3_p1249","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"198","CTC3_p1.CTC3_p1251","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"199","CTC3_p1.CTC3_p1252","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"200","CTC3_p1.CTC3_p1254","BMP4_2ug","M782.10","#cc7818","Amnion/Chorion progenitor"
"201","CTC3_p1.CTC3_p1255","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"202","CTC3_p1.CTC3_p1256","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"203","CTC3_p1.CTC3_p1258","BMP4_2ug","M2393.47","#C594BF","Early nascent mesoderm"
"204","CTC3_p1.CTC3_p1260","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"205","CTC3_p1.CTC3_p1261","BMP4_2ug","M1455.31","#EF5A9D","Gut"
"206","CTC3_p1.CTC3_p1262","BMP4_2ug","M948.23","#635547","Epiblast"
"207","CTC3_p1.CTC3_p1263","BMP4_2ug","M2020.42","#DFCDE4","Late nascent mesoderm"
"208","CTC3_p1.CTC3_p1264","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"209","CTC3_p1.CTC3_p1265","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"210","CTC3_p1.CTC3_p1266","BMP4_2ug","M910.62","#9e6762","Caudal epiblast"
"211","CTC3_p1.CTC3_p1267","BMP4_2ug","M989.95","#90BF75","Definitive ectoderm"
"212","CTC3_p1.CTC3_p1269","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"213","CTC3_p1.CTC3_p1270","BMP4_2ug","M960.97","#DABE99","Primitive streak"
"214","CTC3_p1.CTC3_p1271","BMP4_2ug","M782.10","#cc7818","Amnion/Chorion progenitor"
"215","CTC3_p1.CTC3_p1273","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"216","CTC3_p1.CTC3_p1275","BMP4_2ug","M910.62","#9e6762","Caudal epiblast"
"217","CTC3_p1.CTC3_p1276","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"218","CTC3_p1.CTC3_p1277","BMP4_2ug","M833.11","#cc7818","Amnion/Chorion progenitor"
"219","CTC3_p1.CTC3_p1278","BMP4_2ug","M995.99","#90BF75","Definitive ectoderm"
"220","CTC3_p1.CTC3_p1279","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"221","CTC3_p1.CTC3_p1280","BMP4_2ug","M918.97","#90BF75","Definitive ectoderm"
"222","CTC3_p1.CTC3_p1282","BMP4_2ug","M910.62","#9e6762","Caudal epiblast"
"223","CTC3_p1.CTC3_p1283","BMP4_2ug","M1972.03","#C594BF","Early nascent mesoderm"
"224","CTC3_p1.CTC3_p1284","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"225","CTC3_p1.CTC3_p1285","BMP4_2ug","M1455.31","#EF5A9D","Gut"
"226","CTC3_p1.CTC3_p1286","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"227","CTC3_p1.CTC3_p1288","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"228","CTC3_p1.CTC3_p1290","BMP4_2ug","M2020.42","#DFCDE4","Late nascent mesoderm"
"229","CTC3_p1.CTC3_p1292","BMP4_2ug","M743.24","#cc7818","Amnion/Chorion progenitor"
"230","CTC3_p1.CTC3_p1293","BMP4_2ug","M999.77","#635547","Epiblast"
"231","CTC3_p1.CTC3_p1295","BMP4_2ug","M2028.87","#DFCDE4","Late nascent mesoderm"
"232","CTC3_p1.CTC3_p1296","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"233","CTC3_p1.CTC3_p1298","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"234","CTC3_p1.CTC3_p1299","BMP4_2ug","M972.40","#635547","Epiblast"
"235","CTC3_p1.CTC3_p1300","BMP4_2ug","M948.23","#635547","Epiblast"
"236","CTC3_p1.CTC3_p1301","BMP4_2ug","M116.01","#C594BF","Early nascent mesoderm"
"237","CTC3_p1.CTC3_p1302","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"238","CTC3_p1.CTC3_p1304","BMP4_2ug","M938.32","#635547","Epiblast"
"239","CTC3_p1.CTC3_p1305","BMP4_2ug","M1944.15","#C594BF","Early nascent mesoderm"
"240","CTC3_p1.CTC3_p1307","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"241","CTC3_p1.CTC3_p1308","BMP4_2ug","M809.18","#cc7818","Amnion/Chorion progenitor"
"242","CTC3_p1.CTC3_p1310","BMP4_2ug","M1010.58","#d6616b","EPC progenitors"
"243","CTC3_p1.CTC3_p1311","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"244","CTC3_p1.CTC3_p1312","BMP4_2ug","M833.11","#cc7818","Amnion/Chorion progenitor"
"245","CTC3_p1.CTC3_p1313","BMP4_2ug","M959.17","#90BF75","Definitive ectoderm"
"246","CTC3_p1.CTC3_p1314","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
"247","CTC3_p1.CTC3_p1316","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"248","CTC3_p1.CTC3_p1317","BMP4_2ug","M739.69","#8870ad","ExE mesoderm"
"249","CTC3_p1.CTC3_p1318","BMP4_2ug","M777.35","#cc7818","Amnion/Chorion progenitor"
"250","CTC3_p1.CTC3_p1319","BMP4_2ug","M981.91","#90BF75","Definitive ectoderm"
"251","CTC3_p1.CTC3_p1320","BMP4_2ug","M1270.91","#7F6874","ExE visceral endoderm"
"252","CTC3_p1.CTC3_p1321","BMP4_2ug","M1920.13","#DFCDE4","Late nascent mesoderm"
"253","CTC3_p1.CTC3_p1322","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"254","CTC3_p1.CTC3_p1324","BMP4_2ug","M28.19","#C594BF","Early nascent mesoderm"
"255","CTC3_p1.CTC3_p1327","BMP4_2ug","M726.25","#8870ad","ExE mesoderm"
"256","CTC3_p1.CTC3_p1328","BMP4_2ug","M31.30","#DFCDE4","Late nascent mesoderm"
"257","CTC3_p1.CTC3_p1329","BMP4_2ug","M108.32","#53f1fc","Cardiopharyngeal mesoderm"
"258","CTC3_p1.CTC3_p1330","BMP4_2ug","M116.01","#C594BF","Early nascent mesoderm"
"259","CTC3_p1.CTC3_p1331","BMP4_2ug","M2018.68","#DFCDE4","Late nascent mesoderm"
"260","CTC3_p1.CTC3_p1332","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"261","CTC3_p1.CTC3_p1333","BMP4_2ug","M1077.15","#d6616b","EPC progenitors"
"262","CTC3_p1.CTC3_p1334","BMP4_2ug","M876.99","#90BF75","Definitive ectoderm"
"263","CTC3_p1.CTC3_p1335","BMP4_2ug","M880.44","#635547","Epiblast"
"264","CTC3_p1.CTC3_p1336","BMP4_2ug","M25.54","#C594BF","Early nascent mesoderm"
"265","CTC3_p1.CTC3_p1337","BMP4_2ug","M1385.69","#EF5A9D","Gut"
"266","CTC3_p1.CTC3_p1338","BMP4_2ug","M2484.54","#C594BF","Early nascent mesoderm"
"267","CTC3_p1.CTC3_p1339","BMP4_2ug","M2484.54","#C594BF","Early nascent mesoderm"
"268","CTC3_p1.CTC3_p1340","BMP4_2ug","M28.19","#C594BF","Early nascent mesoderm"
"269","CTC3_p1.CTC3_p1341","BMP4_2ug","M27.88","#53f1fc","Cardiopharyngeal mesoderm"
