"","x"
"1152","AK036329"
"1153","AK036371"
"1154","AK036396;AK089406;AK090172"
"1155","AK036410;Cdca4"
"1156","AK036422"
"1157","AK036450"
"1158","AK036462"
"1159","AK036535"
"1160","AK036547"
"1161","AK036614;March2"
"1162","AK036642;Tctn3"
"1163","AK036680;Fam126a"
"1164","AK036682"
"1165","AK036749;Arhgef3"
"1166","AK036779"
"1167","AK036830;Svopl"
"1168","AK036843"
"1169","AK036854"
"1170","AK036897"
"1171","AK036949"
"1172","AK036982"
"1173","AK037056"
"1174","AK037072;Prkra"
"1175","AK037117"
"1176","AK037139;Pdss2"
"1177","AK037155"
"1178","AK037159"
"1179","AK037193"
"1180","AK037230;Prkca"
"1181","AK037238;Slc16a8"
"1182","AK037264;Polr3g"
"1183","AK037380;Apbb1ip"
"1184","AK037411;Khdrbs1"
"1185","AK037434"
"1186","AK037443"
"1187","AK037484;Dbnl"
"1188","AK037505"
"1189","AK037547;Tmem241"
"1190","AK037549;Xrcc6"
"1191","AK037556;Trav17;Trav9-2;Trav9d-3;TRAV9D-4"
"1192","AK037559"
"1193","AK037562"
"1194","AK037564;Zbtb44"
"1195","AK037565;Anapc16"
"1196","AK037592;BC023320;Pcnp"
"1197","AK037595;AK046895;Ssh2"
"1198","AK037623"
"1199","AK037633"
"1200","AK037694;Car12"
"1201","AK037726;AK171320;Mertk"
"1202","AK037735;Rfx3"
"1203","AK037755;Skap1"
"1204","AK037768"
"1205","AK037776;TRBV16*01"
"1206","AK037830"
"1207","AK037841"
"1208","AK037852;Ube2q2"
"1209","AK037871;Ube4b"
"1210","AK037947"
"1211","AK037964;Atf6"
"1212","AK038087"
"1213","AK038131"
"1214","AK038160;AK086766;Mnat1"
"1215","AK038178;Kdm5c"
"1216","AK038185;Rnf103"
"1217","AK038188"
"1218","AK038197;KC202832;M37285;Trav14d-2"
"1219","AK038224"
"1220","AK038234"
"1221","AK038238"
"1222","AK038272;Ccr9"
"1223","AK038306"
"1224","AK038354"
"1225","AK038368"
"1226","AK038391"
"1227","AK038425;Ube2r2"
"1228","AK038427"
"1229","AK038572;Zfp292"
"1230","AK038603"
"1231","AK038605"
"1232","AK038606"
"1233","AK038627;Hspa4"
"1234","AK038632"
"1235","AK038665"
"1236","AK038693"
"1237","AK038711"
"1238","AK038730"
"1239","AK038736;Prrx1"
"1240","AK038784"
"1241","AK038791"
"1242","AK038798"
"1243","AK038827"
"1244","AK038852"
"1245","AK038880"
"1246","AK038886"
"1247","AK038890;Alg6"
"1248","AK038964;Rnf144b"
"1249","AK038969;Sugct"
"1250","AK038985;AK137106"
"1251","AK039009;AK082764"
"1252","AK039014"
"1253","AK039020"
"1254","AK039023"
"1255","AK039030"
"1256","AK039053"
"1257","AK039065"
"1258","AK039090"
"1259","AK039091"
"1260","AK039104"
"1261","AK039108;AK086712"
"1262","AK039110"
"1263","AK039125"
"1264","AK039132"
"1265","AK039140;Ssbp2"
"1266","AK039166;Snx21"
"1267","AK039178;Elf2"
"1268","AK039210"
"1269","AK039248;Itsn1"
"1270","AK039256"
"1271","AK039269"
"1272","AK039275;AK164470;Rfwd2"
"1273","AK039276"
"1274","AK039279"
"1275","AK039360;DQ703267"
"1276","AK039367"
"1277","AK039373"
"1278","AK039412;AK039500"
"1279","AK039419"
"1280","AK039495;Timm9"
"1281","AK039511"
"1282","AK039581"
"1283","AK039589"
"1284","AK039595"
"1285","AK039603;Slc20a1"
"1286","AK039609;Ccbl1"
"1287","AK039622"
"1288","AK039635"
"1289","AK039657"
"1290","AK039686"
"1291","AK039693"
"1292","AK039749"
"1293","AK039809"
"1294","AK039813"
"1295","AK039820"
"1296","AK039826;AK079709"
"1297","AK039827"
"1298","AK039837"
"1299","AK039860"
"1300","AK039862"
"1301","AK039878"
"1302","AK039881;Sla2"
"1303","AK039882;Hoxaas3"
"1304","AK039894"
"1305","AK039957"
"1306","AK039967"
"1307","AK039979;Ddhd2"
"1308","AK040006;Zfp260"
"1309","AK040028"
"1310","AK040035"
"1311","AK040057"
"1312","AK040058"
"1313","AK040062"
"1314","AK040095;Commd10"
"1315","AK040110"
"1316","AK040143"
"1317","AK040157"
"1318","AK040166"
"1319","AK040173"
"1320","AK040197"
"1321","AK040202"
"1322","AK040222"
"1323","AK040231"
"1324","AK040233;Intu"
"1325","AK040262"
"1326","AK040272"
"1327","AK040276"
"1328","AK040291;Cecr5"
"1329","AK040320"
"1330","AK040321;AK090225;Cog4"
"1331","AK040355"
"1332","AK040357"
"1333","AK040387"
"1334","AK040392;AK166469;AK169482"
"1335","AK040413;Sntb2"
"1336","AK040426"
"1337","AK040452"
"1338","AK040485"
"1339","AK040553"
"1340","AK040557"
"1341","AK040562"
"1342","AK040602;Rnf149"
"1343","AK040640"
"1344","AK040659;AK078239"
"1345","AK040665"
"1346","AK040671"
"1347","AK040684"
"1348","AK040712;Gda"
"1349","AK040719;Zcchc6"
"1350","AK040737"
"1351","AK040752"
"1352","AK040769;Atp9b"
"1353","AK040785"
"1354","AK040808"
"1355","AK040865"
"1356","AK040873"
"1357","AK040904;BC096411"
"1358","AK040948;AK041619;Rmdn1"
"1359","AK040960"
"1360","AK040967;AK087351"
"1361","AK040992"
"1362","AK041001;Rsbn1l"
"1363","AK041008;Fkbp7"
"1364","AK041042;AK045290"
"1365","AK041109;AK136855"
"1366","AK041142"
"1367","AK041157"
"1368","AK041244"
"1369","AK041254;Ctcflos"
"1370","AK041267"
"1371","AK041282;Pogz"
"1372","AK041287"
"1373","AK041310"
"1374","AK041328;AK154268"
"1375","AK041339"
"1376","AK041389"
"1377","AK041408"
"1378","AK041437"
"1379","AK041461"
"1380","AK041465;Nbeal1"
"1381","AK041466;B3galnt2"
"1382","AK041483"
"1383","AK041502;Polh"
"1384","AK041539;Bptf"
"1385","AK041570"
"1386","AK041589"
"1387","AK041614"
"1388","AK041647;AK172683"
"1389","AK041706;AK088911"
"1390","AK041716"
"1391","AK041721;Rsf1os2"
"1392","AK041755;Cdh1"
"1393","AK041762"
"1394","AK041781;Stau1"
"1395","AK041795"
"1396","AK041920;AK135196;Sipa1l3"
"1397","AK041976"
"1398","AK042028;AK148386;Hibadh"
"1399","AK042030"
"1400","AK042046"
"1401","AK042124"
"1402","AK042136"
"1403","AK042206;Limk2"
"1404","AK042210"
"1405","AK042227"
"1406","AK042249"
"1407","AK042276;D5Ertd579e"
"1408","AK042292"
"1409","AK042300"
"1410","AK042336;E430016F16Rik"
"1411","AK042353"
"1412","AK042406;Cyth3"
"1413","AK042445"
"1414","AK042478;Pxk"
"1415","AK042514"
"1416","AK042602"
"1417","AK042610"
"1418","AK042619"
"1419","AK042672;Ccdc88a"
"1420","AK042714"
"1421","AK042725"
"1422","AK042726"
"1423","AK042765"
"1424","AK042781"
"1425","AK042791"
"1426","AK042797"
"1427","AK042831;Cklf"
"1428","AK042845"
"1429","AK042887"
"1430","AK042904"
"1431","AK042933"
"1432","AK042944"
"1433","AK042981;Rundc1"
"1434","AK043013;Mrpl33"
"1435","AK043032"
"1436","AK043046;Herpud2"
"1437","AK043075"
"1438","AK043080"
"1439","AK043106"
"1440","AK043153;AK081056"
"1441","AK043157"
"1442","AK043163"
"1443","AK043174"
"1444","AK043175"
"1445","AK043219"
"1446","AK043267;Mef2c"
"1447","AK043282"
"1448","AK043285"
"1449","AK043331"
"1450","AK043332"
"1451","AK043361;Glce;Mir5133"
"1452","AK043365"
"1453","AK043429;Ypel1"
"1454","AK043439"
"1455","AK043460"
"1456","AK043467;Suv420h1"
"1457","AK043474"
"1458","AK043505;AK083606"
"1459","AK043531"
"1460","AK043564;AK154552"
"1461","AK043585"
"1462","AK043612"
"1463","AK043662"
"1464","AK043676;Pfkp"
"1465","AK043690"
"1466","AK043693;AK049449"
"1467","AK043702"
"1468","AK043723"
"1469","AK043780"
"1470","AK043789;AK142999"
"1471","AK043804"
"1472","AK043844;Rtn3"
"1473","AK043846"
"1474","AK043847"
"1475","AK043869"
"1476","AK043904"
"1477","AK043922"
"1478","AK043935"
"1479","AK043958"
"1480","AK043982"
"1481","AK044006;AK165338"
"1482","AK044033;Teddm2"
"1483","AK044089"
"1484","AK044152"
"1485","AK044164;AK080663"
"1486","AK044172;Chgb"
"1487","AK044177"
"1488","AK044300;AK172315;AW011738"
"1489","AK044315"
"1490","AK044326;Med15"
"1491","AK044327"
"1492","AK044348"
"1493","AK044354"
"1494","AK044374"
"1495","AK044378"
"1496","AK044380"
"1497","AK044432;AK050290"
"1498","AK044468;Vps29"
"1499","AK044480"
"1500","AK044488;Ocrl"
"1501","AK044493;Pde6a"
"1502","AK044497;Taf11"
"1503","AK044594;Odf2l"
"1504","AK044622;BC049715"
"1505","AK044623;Tob2"
"1506","AK044644"
"1507","AK044668;Naglu"
"1508","AK044673"
"1509","AK044780"
"1510","AK044789"
"1511","AK044842;Plcb4"
"1512","AK044848;BC094226"
"1513","AK044859;Ism1"
"1514","AK044874;Mir6918;Nipsnap1"
"1515","AK044904;Lin28b"
"1516","AK044938"
"1517","AK045137"
"1518","AK045142"
"1519","AK045245;Tmem138"
"1520","AK045269;Rxfp1"
"1521","AK045299;Rab10"
"1522","AK045371"
"1523","AK045385"
"1524","AK045483"
"1525","AK045502"
"1526","AK045518;Usp4"
"1527","AK045549;Trip11"
"1528","AK045578;Mir6966;Narfl"
"1529","AK045670;Kctd20"
"1530","AK045681;AK078363"
"1531","AK045683"
"1532","AK045688"
"1533","AK045700"
"1534","AK045755"
"1535","AK045786"
"1536","AK045810"
"1537","AK045837;Snx15"
"1538","AK045896"
"1539","AK045932"
"1540","AK045943;Upf2"
"1541","AK046026"
"1542","AK046128;AK050470;Krit1"
"1543","AK046131"
"1544","AK046168"
"1545","AK046182"
"1546","AK046242;BC064064;FJ188407;M20875;M34214;M34216;TCR alpha;Trav13-4-dv7;U46581;X02942"
"1547","AK046250;R3hdm2;unknown"
"1548","AK046300"
"1549","AK046304"
"1550","AK046316"
"1551","AK046349"
"1552","AK046369;Mdh1"
"1553","AK046372;Sfxn1"
"1554","AK046417"
"1555","AK046440"
"1556","AK046664"
"1557","AK046689;Enpp2"
"1558","AK046721"
"1559","AK046786"
"1560","AK046820;Slc39a9"
"1561","AK046830;Prune2"
"1562","AK046832"
"1563","AK046862;Ufsp2"
"1564","AK046886;AK048383;AK051094;Rc3h2"
"1565","AK046939"
"1566","AK046962;Ppm1e"
"1567","AK046981"
"1568","AK047030"
"1569","AK047041"
"1570","AK047075"
"1571","AK047082"
"1572","AK047145"
"1573","AK047163"
"1574","AK047175;Kit"
"1575","AK047187;Ppp4r1l-ps"
"1576","AK047199;Sidt1"
"1577","AK047207"
"1578","AK047215;Scap"
"1579","AK047238"
"1580","AK047239"
"1581","AK047243;AK080416;Pax6"
"1582","AK047263;Dip2b"
"1583","AK047272;Bahcc1"
"1584","AK047291"
"1585","AK047293;Tmem184c"
"1586","AK047302;Cdc123"
"1587","AK047309"
"1588","AK047323"
"1589","AK047347;Mtmr12"
"1590","AK047349;Sppl2a"
"1591","AK047352"
"1592","AK047355"
"1593","AK047362"
"1594","AK047433;Rbbp8"
"1595","AK047455;AK080083;Mib1"
"1596","AK047462;Clvs1"
"1597","AK047469;Epb41"
"1598","AK047481;AK165798;Mzt1"
"1599","AK047485"
"1600","AK047491"
"1601","AK047520"
"1602","AK047534"
"1603","AK047540"
"1604","AK047541;Trpm7"
"1605","AK047551"
"1606","AK047577"
"1607","AK047617;AK050838;Arih1"
"1608","AK047676"
"1609","AK047723;C030017K20Rik"
"1610","AK047727"
"1611","AK047776;Spred1"
"1612","AK047809"
"1613","AK047830"
"1614","AK047857;AK084042"
"1615","AK047905"
"1616","AK047910;Suds3"
"1617","AK047978;AK086741"
"1618","AK047988"
"1619","AK048013"
"1620","AK048019"
"1621","AK048032"
"1622","AK048048"
"1623","AK048050"
"1624","AK048060"
"1625","AK048085;Ap1s2"
"1626","AK048106"
"1627","AK048185;Trim2"
"1628","AK048186;Dctn4"
"1629","AK048202;Col11a1"
"1630","AK048257;AW549542"
"1631","AK048274"
"1632","AK048292"
"1633","AK048349;Sik1"
"1634","AK048446;Ikbkg"
"1635","AK048477;Ipo7"
"1636","AK048516;Myo9a"
"1637","AK048548"
"1638","AK048564;Tcea1"
"1639","AK048571;AK171985;Snapc3"
"1640","AK048595"
"1641","AK048596"
"1642","AK048672"
"1643","AK048760"
"1644","AK048798"
"1645","AK048803;BC055065;Melk"
"1646","AK048808"
"1647","AK048839"
"1648","AK048846"
"1649","AK048878"
"1650","AK048886"
"1651","AK048887;Xpr1"
"1652","AK048893;Mfn1"
"1653","AK048922"
"1654","AK048941;Cdv3"
"1655","AK048946"
"1656","AK049017"
"1657","AK049068"
"1658","AK049082"
"1659","AK049093;Otoa"
"1660","AK049102"
"1661","AK049168"
"1662","AK049264"
"1663","AK049282"
"1664","AK049295"
"1665","AK049328"
"1666","AK049441;Sdha"
"1667","AK049485"
"1668","AK049492;Best3"
"1669","AK049499;Zfp280c"
"1670","AK049501;Pds5a"
"1671","AK049522"
"1672","AK049536"
"1673","AK049600;BC033430;Hnrnpu"
"1674","AK049618;Eif2s1"
"1675","AK049621"
"1676","AK049625;Nek1"
"1677","AK049654"
"1678","AK049668"
"1679","AK049712"
"1680","AK049769;AK162043;BC040266;Scaf8"
"1681","AK049852"
"1682","AK049951"
"1683","AK049961"
"1684","AK049985"
"1685","AK050041"
"1686","AK050060"
"1687","AK050084;Phf21a"
"1688","AK050085"
"1689","AK050117"
"1690","AK050144"
"1691","AK050164"
"1692","AK050197"
"1693","AK050228;Esco1"
"1694","AK050283"
"1695","AK050336"
"1696","AK050351;BC098222"
"1697","AK050360;AK143933"
"1698","AK050378;Hsd17b13"
"1699","AK050464"
"1700","AK050506;Itpkb"
"1701","AK050510"
"1702","AK050516"
"1703","AK050700"
"1704","AK050736;Hadh"
"1705","AK050742;B230217O12Rik"
"1706","AK050809;Bicd1"
"1707","AK050859;Gspt2"
"1708","AK050885;Cdc14a"
"1709","AK050897"
"1710","AK050909"
"1711","AK050953"
"1712","AK051008;AK157227"
"1713","AK051019"
"1714","AK051203;Ift81"
"1715","AK051222;Sybu"
"1716","AK051254"
"1717","AK051302"
"1718","AK051368;Nagk"
"1719","AK051383"
"1720","AK051417"
"1721","AK051424;Inpp4a"
"1722","AK051451"
"1723","AK051452"
"1724","AK051463"
"1725","AK051482"
"1726","AK051524;Cry2"
"1727","AK051586;Dnajc16"
"1728","AK051654;Slc30a5"
"1729","AK051687;Ube2k"
"1730","AK051768"
"1731","AK051804"
"1732","AK051828;Vps13b"
"1733","AK051833;Trerf1"
"1734","AK051837;Gtf2f2"
"1735","AK051847"
"1736","AK051854;Nck1"
"1737","AK051864;Col8a1"
"1738","AK051919;Spag7"
"1739","AK051928;Mtif2"
"1740","AK052073;Kdm2a"
"1741","AK052121;Arhgef26"
"1742","AK052126"
"1743","AK052150;Mir7013;Pi4kb"
"1744","AK052157;Lrrc4c"
"1745","AK052161"
"1746","AK052226"
"1747","AK052252;Ptk2"
"1748","AK052336;Sorbs2"
"1749","AK052407;AK053708;Smo"
"1750","AK052414;AK165104;Nrg1"
"1751","AK052484;Nktr"
"1752","AK052572"
"1753","AK052576;Akr1b10"
"1754","AK052594"
"1755","AK052627"
"1756","AK052773"
"1757","AK052788"
"1758","AK052801"
"1759","AK052812"
"1760","AK052876;Fam177a"
"1761","AK052878"
"1762","AK052880"
"1763","AK052881"
"1764","AK052909"
"1765","AK052920;Immt"
"1766","AK052938;Lmo7"
"1767","AK053023;Dopey1"
"1768","AK053027;AK144771"
"1769","AK053029;Thra"
"1770","AK053040"
"1771","AK053061;Mprip"
"1772","AK053090;Rpgrip1l"
"1773","AK053109"
"1774","AK053136"
"1775","AK053147;Arhgef28"
"1776","AK053148"
"1777","AK053178"
"1778","AK053225"
"1779","AK053246"
"1780","AK053270"
"1781","AK053313"
"1782","AK053335;Pitpnc1"
"1783","AK053416"
"1784","AK053432;Apaf1"
"1785","AK053501;Asap1"
"1786","AK053505;Spire1"
"1787","AK053557"
"1788","AK053630"
"1789","AK053649"
"1790","AK053689;Ntng1"
"1791","AK053727;Ppm1d"
"1792","AK053772;Foxn3"
"1793","AK053810;Senp2"
"1794","AK053868;Pex7"
"1795","AK053895;Morc4"
"1796","AK053908;Gm10785"
"1797","AK053919"
"1798","AK053930;Rps6kb1"
"1799","AK053962;Ccdc62"
"1800","AK053994"
"1801","AK054042"
"1802","AK054105;Ash1l"
"1803","AK054120"
"1804","AK054122"
"1805","AK054146"
"1806","AK054155"
"1807","AK054221;AK155734"
"1808","AK054245;Impa2"
"1809","AK054308;Riok3"
"1810","AK054328"
"1811","AK054333"
"1812","AK054411;Mtmr6"
"1813","AK054420"
"1814","AK054430;Dennd5b"
"1815","AK054431"
"1816","AK054476"
"1817","AK054493"
"1818","AK054507;Lpcat3"
"1819","AK054515"
"1820","AK054526"
"1821","AK057615;Ip6k2"
"1822","AK075572"
"1823","AK075633"
"1824","AK075667;Lims1"
"1825","AK076253"
"1826","AK076304;AK142782;Ehd4"
"1827","AK076313"
"1828","AK076318"
"1829","AK076358"
"1830","AK076368"
"1831","AK076379;Poglut1"
"1832","AK076401;Il20rb"
"1833","AK076420"
"1834","AK076489"
"1835","AK076583"
"1836","AK076605"
"1837","AK076622"
"1838","AK076655"
"1839","AK076657"
"1840","AK076660"
"1841","AK076661"
"1842","AK076665"
"1843","AK076668;AK076683;Hspa12a"
"1844","AK076673"
"1845","AK076675"
"1846","AK076676"
"1847","AK076685"
"1848","AK076687"
"1849","AK076688"
"1850","AK076706;AK144823;AK166060"
"1851","AK076709"
"1852","AK076711"
"1853","AK076716"
"1854","AK076722"
"1855","AK076728"
"1856","AK076733"
"1857","AK076734"
"1858","AK076739"
"1859","AK076755"
"1860","AK076759"
"1861","AK076771;AK171355;Ipmk"
"1862","AK076774"
"1863","AK076783"
"1864","AK076789"
"1865","AK076790"
"1866","AK076794"
"1867","AK076796"
"1868","AK076817"
"1869","AK076827"
"1870","AK076831"
"1871","AK076839;Akap7"
"1872","AK076840"
"1873","AK076842"
"1874","AK076845"
"1875","AK076847"
"1876","AK076848"
"1877","AK076849"
"1878","AK076851;DQ724899"
"1879","AK076852"
"1880","AK076853"
"1881","AK076859;BC042782"
"1882","AK076892"
"1883","AK076896"
"1884","AK076902"
"1885","AK076906"
"1886","AK076909"
"1887","AK076914"
"1888","AK076918"
"1889","AK076929"
"1890","AK076930;AK160425"
"1891","AK076931"
"1892","AK076935"
"1893","AK076946"
"1894","AK076947"
"1895","AK076949"
"1896","AK076950"
"1897","AK076954"
"1898","AK076959"
"1899","AK076961"
"1900","AK076963"
"1901","AK076966"
"1902","AK076973"
"1903","AK076976"
"1904","AK076979"
"1905","AK076984"
"1906","AK076987"
"1907","AK077029"
"1908","AK077064;FJ541075;FJ541076;FJ541078;FJ541080;FJ541081;FJ541082;FJ541084;FJ541085;FJ541086;FJ541087;FJ541088;FJ541089;FJ541090;FJ541091;FJ541092;FJ541094;FJ541096;FJ541098;FJ541099;FJ541102;Gm20837;Gm21739"
"1909","AK077074;Trp53rkb"
"1910","AK077143"
"1911","AK077157"
"1912","AK077163"
"1913","AK077166"
"1914","AK077171;AK085138;AK161948;AK163710;Tulp4"
"1915","AK077175"
"1916","AK077303"
"1917","AK077348;Tial1"
"1918","AK077350"
"1919","AK077353"
"1920","AK077358"
"1921","AK077405"
"1922","AK077428"
"1923","AK077481"
"1924","AK077492"
"1925","AK077587"
"1926","AK077636;Mrpl48"
"1927","AK077696"
"1928","AK077811"
"1929","AK077832;Pkn2"
"1930","AK077979;Fdps"
"1931","AK078161"
"1932","AK078255"
"1933","AK078276"
"1934","AK078283"
"1935","AK078296"
"1936","AK078307"
"1937","AK078314"
"1938","AK078316"
"1939","AK078352"
"1940","AK078430"
"1941","AK078446"
"1942","AK078466;Vgll4"
"1943","AK078656;Fubp1"
"1944","AK078712;Rbm6"
"1945","AK078788;Fut8"
"1946","AK078801;Api5"
"1947","AK078852"
"1948","AK078886;Zfp398"
"1949","AK078931"
"1950","AK078949"
"1951","AK078978"
"1952","AK078979"
"1953","AK079012"
"1954","AK079017"
"1955","AK079188"
"1956","AK079263;Lmnb1"
"1957","AK079361;Phkg1"
"1958","AK079403"
"1959","AK079445"
"1960","AK079527"
"1961","AK079595"
"1962","AK079662"
"1963","AK079670"
"1964","AK079675"
"1965","AK079692"
"1966","AK079699"
"1967","AK079703"
"1968","AK079713"
"1969","AK079714"
"1970","AK079718"
"1971","AK079723;B3gat3"
"1972","AK079730"
"1973","AK079754"
"1974","AK079763"
"1975","AK079777"
"1976","AK079778;Narf"
"1977","AK079798"
"1978","AK079802;AK146255"
"1979","AK079811;Galnt11"
"1980","AK079912"
"1981","AK079938"
"1982","AK079953"
"1983","AK079957"
"1984","AK079958"
"1985","AK079994;Trappc8"
"1986","AK080009"
"1987","AK080030"
"1988","AK080051"
"1989","AK080057"
"1990","AK080063;AK153639"
"1991","AK080151;BMH1"
"1992","AK080173;E130112N10Rik;Vamp1"
"1993","AK080189;Itch"
"1994","AK080222"
"1995","AK080247"
"1996","AK080258"
"1997","AK080275;Lamtor1"
"1998","AK080292"
"1999","AK080311"
"2000","AK080343"
"2001","AK080351"
"2002","AK080352"
"2003","AK080422"
"2004","AK080425;AK089217"
"2005","AK080443"
"2006","AK080469;Sgk3"
"2007","AK080470;Srr"
"2008","AK080484"
"2009","AK080559"
"2010","AK080631"
"2011","AK080648"
"2012","AK080692;Snta1"
"2013","AK080695"
"2014","AK080698;Pam16"
"2015","AK080786;Wasf1"
"2016","AK080816;AK138135;Pcdh15"
"2017","AK080857"
"2018","AK080902"
"2019","AK080931;Ciapin1"
"2020","AK080936;Stip1"
"2021","AK080939;Ggact"
"2022","AK080941;Ankhd1;Eif4ebp3"
"2023","AK080945;Swap70"
"2024","AK080962;Fam208a"
"2025","AK080970"
"2026","AK080972;Fam179b"
"2027","AK080982;Cyyr1"
"2028","AK081084;Rab12"
"2029","AK081086"
"2030","AK081090"
"2031","AK081104"
"2032","AK081119"
"2033","AK081140"
"2034","AK081163"
"2035","AK081202"
"2036","AK081204;Rragd"
"2037","AK081211"
"2038","AK081223"
"2039","AK081244;Ank2"
"2040","AK081271"
"2041","AK081315"
"2042","AK081342"
"2043","AK081357"
"2044","AK081414"
"2045","AK081464"
"2046","AK081501"
"2047","AK081590;Arhgap17"
"2048","AK081591"
"2049","AK081619"
"2050","AK081669;Ncbp3"
"2051","AK081730;Hsf1"
"2052","AK081794"
"2053","AK081796;AK219583;Gns"
"2054","AK081809"
"2055","AK081824"
"2056","AK081861;Eya4"
"2057","AK081945"
"2058","AK082064"
"2059","AK082104"
"2060","AK082113;Pde1c"
"2061","AK082117;Lsamp"
"2062","AK082145"
"2063","AK082148"
"2064","AK082182;Prune"
"2065","AK082249"
"2066","AK082250;Dgki"
"2067","AK082264;Arhgef4"
"2068","AK082277;Asph"
"2069","AK082314"
"2070","AK082333;Cops7b"
"2071","AK082338;Stmn3"
"2072","AK082366"
"2073","AK082371"
"2074","AK082431;AK084795;Sf3a1"
"2075","AK082432"
"2076","AK082439"
"2077","AK082514"
"2078","AK082641;Ebf1"
"2079","AK082654;Ndst3"
"2080","AK082682;Cox16;Synj2bp;Synj2bp-cox16"
"2081","AK082693"
"2082","AK082734"
"2083","AK082813"
"2084","AK082862"
"2085","AK082948"
"2086","AK082954;BC075654"
"2087","AK082990;Ppp3ca"
"2088","AK083030;Rmst"
"2089","AK083075;Pygl"
"2090","AK083149"
"2091","AK083177"
"2092","AK083197"
"2093","AK083199"
"2094","AK083203"
"2095","AK083211;Fam175a"
"2096","AK083252"
"2097","AK083296;AK131895"
"2098","AK083420;Gpbp1"
"2099","AK083547"
"2100","AK083594;Supt7l"
"2101","AK083675;AK148762;Rrp1b"
"2102","AK083777"
"2103","AK083791;Atad2b"
"2104","AK083815;Fam169a"
"2105","AK083994"
"2106","AK084059"
"2107","AK084080;Cabp1"
"2108","AK084081"
"2109","AK084120;Slc38a10"
"2110","AK084133"
"2111","AK084148;Insr"
"2112","AK084157;Kcmf1"
"2113","AK084166;Jak2"
"2114","AK084237"
"2115","AK084265"
"2116","AK084270"
"2117","AK084284"
"2118","AK084356;AY940615;AY940618;Kis2"
"2119","AK084392"
"2120","AK084398;Ccbl2"
"2121","AK084424"
"2122","AK084485;Mfsd8"
"2123","AK084494;AK172696"
"2124","AK084495"
"2125","AK084560"
"2126","AK084590;Uimc1"
"2127","AK084593;Tmod3"
"2128","AK084599"
"2129","AK084677"
"2130","AK084679"
"2131","AK084689;Cdkl5"
"2132","AK084733;Gm15708"
"2133","AK084744;AK157531"
"2134","AK084798;St8sia6"
"2135","AK084809"
"2136","AK084828"
"2137","AK084911;Myom1"
"2138","AK084920;AK170928;Zbtb21"
"2139","AK084954;AK171817"
"2140","AK084992"
"2141","AK085054;Strn3"
"2142","AK085062"
"2143","AK085097;Akap2;Pakap;Palm2"
"2144","AK085120;Atp10d"
"2145","AK085136"
"2146","AK085137;Ice2"
"2147","AK085157"
"2148","AK085172;Phf20"
"2149","AK085201"
"2150","AK085253"
"2151","AK085274"
"2152","AK085275"
"2153","AK085277;Gpr107"
"2154","AK085296;E2f3"
"2155","AK085305"
"2156","AK085322;AK085480"
"2157","AK085328;AK184073;Atg13"
"2158","AK085341"
"2159","AK085353"
"2160","AK085371"
"2161","AK085384"
"2162","AK085428"
"2163","AK085438"
"2164","AK085446"
"2165","AK085459"
"2166","AK085498;Pi4ka"
"2167","AK085533"
"2168","AK085570"
"2169","AK085609"
"2170","AK085625"
"2171","AK085632"
"2172","AK085652"
"2173","AK085695;Ppan"
"2174","AK085758"
"2175","AK085760"
"2176","AK085761"
"2177","AK085764"
"2178","AK085768"
"2179","AK085792"
"2180","AK085824"
"2181","AK085827;Itpr1"
"2182","AK085849"
"2183","AK085859;Fry"
"2184","AK085881"
"2185","AK085891"
"2186","AK085942"
"2187","AK085961"
"2188","AK085969"
"2189","AK085972"
"2190","AK085995"
"2191","AK086005"
"2192","AK086006"
"2193","AK086010;AK087237;BC099577"
"2194","AK086039"
"2195","AK086056;Arl5b"
"2196","AK086065;Mplkip"
"2197","AK086087"
"2198","AK086212;Mcm9"
"2199","AK086223;Neo1"
"2200","AK086230;Tab2"
"2201","AK086236"
"2202","AK086245"
"2203","AK086288"
"2204","AK086290;Grin2a"
"2205","AK086315"
"2206","AK086320"
"2207","AK086341"
"2208","AK086355"
"2209","AK086375"
"2210","AK086409;Ywhaq"
"2211","AK086418;AK140266;Mast2"
"2212","AK086436"
"2213","AK086439"
"2214","AK086460"
"2215","AK086465"
"2216","AK086522;Apool"
"2217","AK086544"
"2218","AK086556"
"2219","AK086561;Ppp2r2b"
"2220","AK086575;Dclre1c"
"2221","AK086615"
"2222","AK086633;Samm50"
"2223","AK086660"
"2224","AK086672"
"2225","AK086736"
"2226","AK086757;Creb3l2"
"2227","AK086765;Kcnc1"
"2228","AK086793"
"2229","AK086905;Atg4c"
"2230","AK086914"
"2231","AK086943"
"2232","AK086969"
"2233","AK086971"
"2234","AK087024"
"2235","AK087037"
"2236","AK087045"
"2237","AK087111"
"2238","AK087158;Ifngr2"
"2239","AK087181"
"2240","AK087209"
"2241","AK087292"
"2242","AK087376"
"2243","AK087382"
"2244","AK087392"
"2245","AK087460;AK144984"
"2246","AK087483;AK138287"
"2247","AK087549;AK138086;Ubr3"
"2248","AK087575"
"2249","AK087581"
"2250","AK087597;Gpcpd1"
"2251","AK087617"
"2252","AK087644"
"2253","AK087656"
"2254","AK087678"
"2255","AK087705;Mmp28"
"2256","AK087719"
"2257","AK087743;Podxl2"
"2258","AK087744;AK142678;BC100303"
"2259","AK087755"
"2260","AK087806"
"2261","AK087813"
"2262","AK087850"
