"","x"
"289","Gng5"
"290","Gprc5a"
"291","Gpx1"
"292","Gse1"
"293","Hbb-b2"
"294","Hdac6"
"295","Hdgf"
"296","Hif1a"
"297","Hist1h1a"
"298","Hist1h1b"
"299","Hist1h1c"
"300","Hist1h1d"
"301","Hist1h1e"
"302","Hist1h2ae"
"303","Hmga1"
"304","Hmmr"
"305","Hnrnpf"
"306","Hsp90aa1"
"307","Hsp90ab1"
"308","Hsp90b1"
"309","Hspa1a"
"310","Hspa5"
"311","Hspa8"
"312","Hspb1"
"313","Hspb8"
"314","Hspe1"
"315","Huwe1;Mir3113"
"316","Igf2bp1;Mir3063"
"317","Il1r2"
"318","Isyna1"
"319","Kif20b"
"320","Kmt2a"
"321","Ldha"
"322","Lig1"
"323","Ly6a"
"324","Ly6c1"
"325","Manf"
"326","Mbnl1"
"327","Mcm3"
"328","Mif"
"329","Mir1982;Oaz1"
"330","Mir6236"
"331","Mir692-1"
"332","Mir7079;Rpl13"
"333","Mki67"
"334","Msh6"
"335","Mt1"
"336","Mt2"
"337","Mt3"
"338","Mt4"
"339","Myh10"
"340","Naca"
"341","Nasp"
"342","Ncl"
"343","Nono"
"344","Npm1"
"345","Nucks1"
"346","Odc1"
"347","Pcna"
"348","Pdia6"
"349","Pfn1"
"350","Pkm"
"351","Plekhf2"
"352","Pnpo"
"353","Prc1"
"354","Prdx2"
"355","Prmt1"
"356","Prpf40a"
"357","Psip1"
"358","Psmb10"
"359","Ptma"
"360","Pttg1"
"361","Rab15"
"362","Ran"
"363","Rell1"
"364","Rn45s"
"365","Rpl10"
"366","Rpl10a"
"367","Rpl10l"
"368","Rpl11"
"369","Rpl12"
"370","Rpl13a;Snord33;Snord34"
"371","Rpl14"
"372","Rpl14-ps1"
"373","Rpl15"
"374","Rpl17"
"375","Rpl18"
"376","Rpl19"
"377","Rpl21"
"378","Rpl22"
"379","Rpl22l1"
"380","Rpl23"
"381","Rpl23a"
"382","Rpl24"
"383","Rpl27"
"384","Rpl27a"
"385","Rpl28"
"386","Rpl29"
"387","Rpl3"
"388","Rpl30"
"389","Rpl31-ps12"
"390","Rpl32"
"391","Rpl32l"
"392","Rpl34"
"393","Rpl35"
"394","Rpl35a"
"395","Rpl36"
"396","Rpl36a"
"397","Rpl37"
"398","Rpl37a"
"399","Rpl37rt"
"400","Rpl38"
"401","Rpl39"
"402","Rpl39l"
"403","Rpl3l"
"404","Rpl4"
"405","Rpl41"
"406","Rpl5"
"407","Rpl6"
"408","Rpl7"
"409","Rpl7a"
"410","Rpl7l1"
"411","Rpl8"
"412","Rpl9"
"413","Rplp0"
"414","Rplp1"
"415","Rps10"
"416","Rps11"
"417","Rps12;Snora33;Snord100"
"418","Rps13"
"419","Rps14"
"420","Rps15"
"421","Rps15a"
"422","Rps15a-ps4"
"423","Rps15a-ps6"
"424","Rps16"
"425","Rps17"
"426","Rps18"
"427","Rps19"
"428","Rps19-ps3"
"429","Rps19bp1"
"430","Rps2"
"431","Rps20"
"432","Rps21"
"433","Rps23"
"434","Rps24"
"435","Rps25"
"436","Rps26"
"437","Rps27"
"438","Rps27a"
"439","Rps27l"
"440","Rps28"
"441","Rps29"
"442","Rps3;Snord15b"
"443","Rps3a1"
"444","Rps4l"
"445","Rps4x"
"446","Rps5"
"447","Rps6"
"448","Rps6ka1"
"449","Rps6ka2"
"450","Rps6ka3"
"451","Rps6ka5"
"452","Rps6ka6"
"453","Rps6kb2"
"454","Rps6kc1"
"455","Rps6kl1"
"456","Rps7"
"457","Rps8"
"458","Rps9"
"459","Rpsa"
"460","Rrm2"
"461","S100a4"
"462","S100a8"
"463","Sf3b1"
"464","Slc14a1"
"465","Slc16a3"
"466","Slc6a12"
"467","Smarca4"
"468","Smarca5"
"469","Smc4"
"470","Smox"
"471","Snrpg"
"472","Soat1"
"473","Son"
"474","Spint1"
"475","Spns2"
"476","Srrm2"
"477","Ssb"
"478","Ssx2ip"
"479","Stmn1"
"480","Sumo1"
"481","Tac2"
"482","Tfrc"
"483","Tjp2"
"484","Tmem14c"
"485","Top1"
