"","BMP4_1ug","BMP4_2ug","NTC"
"AB345223",0,0,0
"AB345229",0,0,0
"AB345231",0,0,0
"AB345245",0,0,0
"AB345250",0,0,0
"AB345258",0,0,0
"AB345261",0,0,0
"AB345268",0,0,0
"AB345460",345,175,362
"AB345468",0,0,0
"AB345581",0,0,0
"AB345950",0,0,0
"AB346024",4,1,2
"AB346163",20,18,18
"AB346228",13,14,10
"AB346293;Luzp1",1297,915,1520
"AB346318",193,147,250
"AB346350",0,0,0
"AB346559",179,113,145
"AB346669",0,0,0
"AB346730",0,0,1
"AB346734",0,0,0
"AB346741",0,0,0
"AB346742",0,0,0
"AB346745",0,0,0
"AB346746",0,0,0
"AB346747",0,0,0
"AB346759",0,0,0
"AB346761",0,0,0
"AB346771",0,0,0
"AB346773",0,0,0
"AB346777",0,0,0
"AB346779",0,0,0
"AB346786",0,0,0
"AB346797",0,0,0
"AB346804",0,0,0
"AB346812",0,0,0
"AB347122",0,0,0
"AB347200",0,0,0
"AB347309",0,0,0
"AB347442",0,0,0
"AB347501",37,23,49
"AB347559",9,2,15
"AB347565",2,0,2
"AB347592",1,0,2
"AB347683",0,0,0
"AB347728",0,0,0
"AB347733",0,0,0
"AB347750",0,0,0
"AB347857",0,0,0
"AB347864",0,1,0
"AB347940",0,1,0
"AB348151",2,2,4
"AB348156",8,6,4
"AB348315",0,0,0
"AB348316",0,0,0
"AB348327",0,0,0
"AB348335",0,0,0
"AB348416",0,0,0
"AB348429",0,0,0
"AB348697",7,2,2
"AB348727",0,0,0
"AB348738",0,0,0
"AB349069;Kif4",487,436,581
"AB349106",0,0,0
"AB349132",0,0,0
"AB349142",0,0,0
"AB349166",0,0,0
"AB349505",0,0,0
"AB349586",0,0,0
"AB349653",0,0,0
"AB349717",89,115,178
"AB349738",46,26,74
"AB349790",0,0,0
"AB349811",7,1,2
"AB349855",0,0,0
"AB349959",0,0,0
"AB349994",0,0,0
"AB350106",0,0,0
"AB350133",0,0,0
"AB350299",0,0,0
"AB350311",0,0,0
"AB350315",0,0,0
"AB350709",0,0,0
"AB350776",0,0,0
"AB350795",0,0,1
"AB350849",0,0,0
"AB350869",0,0,0
"AB350908",0,0,0
"AB350956",0,0,0
"AB351020",0,0,0
"AB351078",0,0,1
"AB351190;Zfp24",727,522,1051
"AB351293",0,1,0
"AB351301",0,0,0
"AB351375",0,0,0
"AB351440",0,0,0
"AB351533",0,0,0
"AB351564",0,0,0
"AB351622",0,0,0
"AB351656",201,152,274
"AB351778",0,0,0
"AB351862",0,0,0
"AB351889",0,0,0
"AB352038",0,0,0
"AB352058",0,0,0
"AB352175",41,15,47
"AB352304",0,0,0
"AB352356",110,99,113
"AB352403",0,0,0
"AB352444",2,2,0
"AB352479",0,0,0
"AB352621",9,7,8
"AB352754",0,0,0
"AB352792",0,0,0
"AB352820",0,0,0
"AB352881",0,0,1
"AB352938",0,0,0
"AB352974",63,28,71
"AB352974;Tarbp2",54,57,120
"AB353040",1,0,0
"AB904934",35,25,14
"AF032968",0,0,1
"AF050165;Ppp2r3a",120,100,97
"AF067061",0,0,0
"AF067063",0,0,0
"AF216290",12,36,27
"AF251705",0,0,0
"AF357355",8,6,15
"AF357374",31,38,49
"AF357376",5,1,2
"AF357399",1,0,4
"AF357425",22,19,21
"AF357426",1,1,1
"AF357446;Necap1",394,284,546
"AF365933",2,1,3
"AF366264",0,0,0
"AF374273;Cytip",0,1,0
"AF465519;Tagln2",2050,1291,1873
"AF479022",0,0,0
"AF529169",8,10,16
"AI115009",0,1,0
"AI182371",5,6,1
"AI197445",4,2,4
"AI314180",889,595,957
"AI314278",0,1,1
"AI413582",81,80,65
"AI414108",87,49,106
"AI427809",0,0,0
"AI429214",31,32,22
"AI463170",7,9,5
"AI464131",77,99,91
"AI467606",13,13,10
"AI481877",1,0,0
"AI504432",16,31,20
"AI507597",1,0,0
"AI593442",5,0,6
"AI597479",231,205,273
"AI606181",14,13,13
"AI606473",0,1,0
"AI607873",0,0,0
"AI646519",0,0,0
"AI661453",148,53,121
"AI662270",33,12,29
"AI837181",289,185,438
"AI839979",0,1,0
"AI846148",178,92,192
"AI847159",0,2,0
"AI854517",15,30,17
"AI854703",10,18,10
"AI987944",58,70,75
"AU015228",6,2,6
"AU015791",0,0,0
"AU015836",180,20,108
"AU016765",0,0,0
"AU018091",351,95,221
"AU019823",491,465,661
"AU019990",0,0,0
"AU021063",0,0,0
"AU021092",1,0,0
"AU022252",129,105,157
"AU022751",6,4,2
"AU022754",0,0,0
"AU022793",0,0,0
"AU023762",0,1,0
"AU040972",0,0,0
"AU041133",41,76,26
"AV039307",5,6,4
"AV051173",6,3,10
"AV064505",1,0,0
"AV320801",0,0,0
"AW046200",0,2,0
"AW112010",2,2,2
"AW146154",47,51,44
"AW209491",167,196,141
"AW495222",1,1,0
"AW549877",357,339,441
"AW551984",22,35,53
"AW822252",14,25,7
"AY074887",37,27,67
"AY139115",0,0,0
"AY358078",0,0,0
"AY487415",0,0,0
"AY512909",0,0,1
"AY512912",0,0,0
"AY512915",0,0,0
"AY512917",0,0,0
"AY512931",0,0,0
"AY512943",0,0,0
"AY702102",0,0,1
"AY702103",1,1,0
"AY761184",0,0,0
"AY761185",2,4,4
"Aaas",602,559,854
"Aacs",109,65,124
"Aadac",5,2,3
"Aadacl2",0,0,0
"Aadacl3",0,0,0
"Aadat",14,18,30
"Aaed1",90,43,89
"Aagab",586,440,630
"Aamdc",69,50,120
"Aamp",1373,955,1688
"Aanat",0,1,0
"Aar2",350,243,439
"Aard",119,87,141
"Aars2",173,125,204
"Aarsd1",612,574,725
"Aasdh",85,86,88
"Aasdhppt",475,463,785
"Aass",16,18,28
"Aatf",314,258,377
"Aatk",1,9,0
"Abat",13,20,19
"Abca13",0,1,0
"Abca14",0,0,0
"Abca15",0,0,1
"Abca16",3,5,1
"Abca17",1,1,0
"Abca3",37,54,20
"Abca4",4,15,12
"Abca5",18,26,21
"Abca6",0,0,0
"Abca7",18,27,23
"Abca8a",0,1,0
"Abca8b",3,4,0
"Abca9",0,8,2
"Abcb10",231,137,232
"Abcb11",1,1,2
"Abcb1a",1,0,0
"Abcb1b",46,53,30
"Abcb5",0,0,0
"Abcb6",259,211,301
"Abcb7",338,301,482
"Abcb8",264,216,240
"Abcb9",6,7,5
"Abcc10",31,17,29
"Abcc12",6,2,10
"Abcc2",20,22,34
"Abcc3",0,0,0
"Abcc4",102,60,109
"Abcc5",188,146,285
"Abcc6",0,6,1
"Abcc8",14,11,21
"Abcc9",0,1,2
"Abcd1",40,49,49
"Abcd2",13,26,17
"Abcd3",323,244,350
"Abcd4",404,397,437
"Abce1",2854,2059,3833
"Abcf2",472,383,610
"Abcf3",200,129,252
"Abcg1",35,33,60
"Abcg2",421,378,613
"Abcg3",0,0,1
"Abcg4",18,9,11
"Abcg5",1,9,4
"Abcg8",0,6,1
"Abhd1",39,26,36
"Abhd10",184,178,309
"Abhd11",181,145,203
"Abhd11os",18,42,29
"Abhd12b",7,8,1
"Abhd13",327,213,439
"Abhd14a",192,134,254
"Abhd14b",64,43,93
"Abhd16a",131,97,134
"Abhd16b",0,0,0
"Abhd17a",676,529,818
"Abhd17b",577,380,969
"Abhd17c",730,546,1060
"Abhd18",24,21,38
"Abhd2",37,17,38
"Abhd3",9,8,8
"Abhd4",207,203,319
"Abhd5",240,148,228
"Abhd6",142,90,118
"Abhd8",127,102,187
"Abi1",489,307,754
"Abi3",11,11,4
"Abi3bp",0,0,0
"Abl1",428,345,609
"Abl2",599,390,719
"Ablim2",0,0,2
"Ablim3",4,3,5
"Abo",0,1,0
"Abr",274,248,299
"Abra",0,0,0
"Abracl",968,919,1780
"Abt1",415,254,567
"Abtb1",116,111,170
"Acaa1a",241,188,271
"Acaa1b",19,17,22
"Acaa2",233,138,254
"Acacb",18,22,13
"Acad10",32,38,31
"Acad11;Nphp3",202,202,321
"Acad12",10,19,12
"Acad8",245,213,318
"Acadl",528,452,800
"Acadm",572,381,642
"Acads",120,56,113
"Acadsb",162,147,204
"Acadvl",168,76,152
"Acan",5,13,13
"Acap3",98,102,173
"Acat1",215,157,229
"Acat2",951,721,1200
"Acat3",7,9,28
"Acbd3",472,299,553
"Acbd4",57,31,44
"Acbd5",164,130,188
"Acbd6",826,592,910
"Acbd7",12,7,23
"Accn1/Mpped2;Mpped2",147,114,138
"Accs",28,36,16
"Accsl",0,0,0
"Acd",322,232,370
"Ace",2,8,9
"Ace2",0,0,0
"Ace3",0,1,0
"Acer1",14,13,12
"Acer2",317,297,585
"Acer3",176,135,222
"Ache",1,1,0
"Ackr1",8,11,10
"Ackr2",0,3,0
"Ackr3",38,45,72
"Ackr4",1,1,0
"Acmsd",0,0,0
"Acnat1",3,10,8
"Acnat2",0,0,0
"Aco1",554,396,742
"Aco2",1214,1034,1608
"Acot1",196,176,245
"Acot10",5,2,5
"Acot11",9,16,12
