"","BMP4_1ug","BMP4_2ug","NTC"
"Cks2",270,179,555
"Clasp1",543,443,769
"Clasp2",274,185,384
"Clasrp",221,234,228
"Clca1",1,3,0
"Clca2",0,0,0
"Clca3a1;Clca3a2",0,0,0
"Clca3b",0,1,0
"Clca4a",0,0,2
"Clca4b",0,0,0
"Clca4c-ps",0,0,0
"Clcc1",229,182,245
"Clcf1;Clcf1-pold4;Pold4",70,100,73
"Clcn1",2,4,2
"Clcn2",161,103,160
"Clcn3",605,548,699
"Clcn4",222,194,235
"Clcn5",129,119,120
"Clcn6",115,72,127
"Clcn7",212,140,233
"Clcnka",3,3,3
"Clcnkb",1,0,3
"Cldn1",5,4,4
"Cldn10",4,6,5
"Cldn11",6,13,7
"Cldn12",359,214,509
"Cldn13",0,0,0
"Cldn14",0,0,0
"Cldn15",4,0,5
"Cldn16",0,0,0
"Cldn17",0,0,0
"Cldn18",0,0,0
"Cldn19",3,4,4
"Cldn2",37,25,40
"Cldn20",0,1,1
"Cldn22",0,0,0
"Cldn23",3,4,5
"Cldn24",0,0,0
"Cldn3",139,53,111
"Cldn34-ps",0,0,0
"Cldn34a",0,0,0
"Cldn34b1",0,0,1
"Cldn34b2",0,0,0
"Cldn34b3",0,0,0
"Cldn34b4",0,0,0
"Cldn34c1",1,2,4
"Cldn34c4",0,0,0
"Cldn34d",0,0,0
"Cldn4",88,39,47
"Cldn5",1,0,0
"Cldn6",911,600,1233
"Cldn7",429,308,558
"Cldn8",0,2,2
"Cldn9",23,26,18
"Cldnd1",567,537,881
"Cldnd2",0,0,0
"Clec10a",0,0,0
"Clec11a",13,44,15
"Clec12a",3,1,1
"Clec12b",0,0,0
"Clec14a",0,3,3
"Clec16a",80,75,93
"Clec18a;mannose receptor precursor-like",0,0,1
"Clec1a",4,3,5
"Clec1b",0,0,0
"Clec2d",0,0,0
"Clec2e",1,0,0
"Clec2f",0,0,0
"Clec2g",0,1,0
"Clec2h",0,0,0
"Clec2i",0,0,0
"Clec2l",9,5,4
"Clec3a",0,0,0
"Clec3b",0,0,0
"Clec4a1",1,0,1
"Clec4a2",2,0,2
"Clec4a3",0,1,0
"Clec4a4",0,0,0
"Clec4b1",0,0,1
"Clec4b2",0,0,0
"Clec4d",0,0,0
"Clec4e",0,1,0
"Clec4f",0,0,0
"Clec4g",0,0,0
"Clec4n",0,0,0
"Clec5a",0,0,0
"Clec7a",0,0,0
"Clec9a",0,0,0
"Clgn",1,8,4
"Clhc1",1,4,1
"Clic1",421,345,617
"Clic3",0,0,1
"Clic5",25,10,31
"Clic6",169,106,192
"Clint1",1032,588,1388
"Clip2",72,38,55
"Clip3",342,309,488
"Clip4",8,20,18
"Clk1",738,500,1462
"Clk2;Clk2-scamp3;Scamp3",1019,870,1382
"Clk3",363,248,581
"Clk4",197,195,415
"Clmn",108,88,126
"Cln5",187,202,279
"Cln6",134,88,82
"Cln8",250,124,328
"Clnk",0,1,3
"Clns1a",2101,1791,3063
"Clock",113,105,144
"Clp1",313,191,603
"Clpb;Rpl31",1424,1177,2342
"Clpp",747,661,1064
"Clpsl2",0,0,0
"Clptm1",489,404,620
"Clptm1l",370,264,401
"Clpx",385,275,572
"Clrn1",0,0,0
"Clrn2",0,0,0
"Clrn3",0,0,0
"Clstn1",550,338,608
"Clstn2",1,4,7
"Clta",3166,2007,3900
"Cltb",97,61,79
"Cltc",2973,2139,3889
"Clu",91,59,80
"Cluap1",189,157,282
"Cluh",399,275,492
"Clvs2",8,7,5
"Clybl",221,227,279
"Cma1",1,0,0
"Cma2",0,0,0
"Cmah",3,2,2
"Cmas",347,272,470
"Cmbl",3,7,2
"Cmc1",163,141,277
"Cmc2",341,323,475
"Cmc4;Mtcp1",79,72,85
"Cmklr1",16,18,20
"Cmpk1",898,587,1244
"Cmpk2",1,4,8
"Cmss1",450,386,697
"Cmtm1;Cmtm2a",0,0,1
"Cmtm2b",0,0,0
"Cmtm3",104,128,118
"Cmtm4",551,348,663
"Cmtm5",15,8,23
"Cmtm6",455,403,574
"Cmtm7",104,93,131
"Cmtr1",392,341,405
"Cmtr2",44,36,93
"Cmya5",1,1,5
"Cnbd2",10,11,4
"Cnbp",7082,5256,9849
"Cndp1",2,4,3
"Cndp2",541,456,674
"Cnep1r1",342,235,537
"Cnfn",0,2,0
"Cnga2",1,1,1
"Cnga3",1,7,0
"Cnga4",1,1,0
"Cngb1",0,1,1
"Cngb3",0,0,0
"Cnih1",1284,1033,2276
"Cnih2",148,149,140
"Cnih3",1,4,5
"Cnih4",779,493,1062
"Cnksr1",40,26,27
"Cnksr2",98,126,111
"Cnksr3",282,166,438
"Cnn1",42,36,39
"Cnn2",1353,1109,1360
"Cnnm1",23,36,16
"Cnnm2",61,40,83
"Cnnm3",222,164,330
"Cnnm4",105,103,120
"Cnot10",490,379,630
"Cnot11",577,458,752
"Cnot2",876,644,1218
"Cnot4",464,352,758
"Cnot6",861,569,1254
"Cnot6l",372,312,450
"Cnot7",755,554,1208
"Cnot8",551,392,841
"Cnp",50,38,59
"Cnppd1",327,335,400
"Cnpy1",4,5,5
"Cnpy2",1609,1758,2349
"Cnpy3",277,268,353
"Cnpy4",256,211,406
"Cnr1",33,40,44
"Cnr2",0,0,0
"Cnrip1",52,50,98
"Cnst",144,109,162
"Cntd1",6,29,12
"Cntf;Zfp91;Zfp91Cntf",1104,733,1171
"Cntfr",38,27,33
"Cntln",34,48,28
"Cntn1",0,1,0
"Cntn2",18,16,21
"Cntn3",5,8,2
"Cntn4",0,1,0
"Cntn5",0,1,0
"Cntn6",0,1,0
"Cntnap1",1,2,1
"Cntnap2",71,84,108
"Cntnap3",1,0,0
"Cntnap4",3,3,8
"Cntnap5a",0,4,0
"Cntnap5b",0,0,0
"Cntnap5c",0,0,0
"Cntrl",306,272,339
"Cntrob",117,114,112
"Coa3",677,696,965
"Coa5",795,608,1111
"Coa6",379,239,515
"Coa7",403,307,462
"Coasy",176,152,265
"Cobl",19,18,41
"Cobll1",233,141,246
"Coch",89,76,95
"Cog1",165,121,180
"Cog2",173,138,198
"Cog3",119,82,232
"Cog5",46,40,60
"Cog6",151,126,241
"Cog7",194,158,214
"Cog8;Pdf",874,607,955
"Coil",455,356,483
"Col10a1",0,0,0
"Col11a2",1,13,9
"Col12a1",1,1,2
"Col13a1",34,40,30
"Col14a1",7,8,8
"Col15a1",1,1,3
"Col16a1",6,15,9
"Col17a1",5,1,0
"Col18a1",633,559,673
"Col19a1",14,5,10
"Col1a1",257,310,272
"Col1a2",71,88,71
"Col22a1",3,10,4
"Col23a1",59,76,69
"Col24a1",4,0,5
"Col25a1",0,2,2
"Col27a1",51,50,38
"Col28a1",0,0,2
"Col2a1",61,89,80
"Col3a1",4,2,3
"Col4a1",730,800,992
"Col4a2",284,333,429
"Col4a3",2,1,2
"Col4a3bp",411,286,532
"Col4a4",1,1,0
"Col4a5",15,20,21
"Col4a6",26,20,16
"Col5a2",77,74,110
"Col5a3",0,0,0
"Col6a1",6,8,9
"Col6a2",7,8,13
"Col6a3",1,6,2
"Col6a4",4,0,0
"Col6a5",0,1,3
"Col6a6",0,0,0
"Col8a2",4,1,1
"Col9a1",19,19,48
"Col9a2",19,7,28
"Col9a3",56,40,44
"Colec10",0,0,0
"Colec11",5,11,3
"Colec12",227,238,350
"Colgalt2",2,2,2
"Colq",0,1,0
"Commd2",537,420,786
"Commd3",271,339,352
"Commd4",561,457,657
"Commd5",316,220,350
"Commd6",314,286,607
"Commd7",367,294,426
"Commd8",545,533,892
"Commd9",294,215,373
"Comp",1,1,2
"Comtd1",200,145,235
"Copa",1014,803,1322
"Copb1",1020,722,1410
"Copb2",1702,1381,2061
"Cope",871,880,1177
"Copg1",964,744,1247
"Copg2",227,226,292
"Coprs",410,392,644
"Cops2",1831,1363,2721
"Cops3",1449,1090,2112
"Cops4",1585,1255,2227
"Cops5",2011,1680,2745
"Cops6",1052,894,1438
"Cops7a",1336,978,1478
"Cops8",1198,1002,1702
"Copz1",1370,1223,1986
"Coq10a",54,40,59
"Coq3",159,172,226
"Coq4",365,329,483
"Coq6",269,215,283
"Coq7",524,500,667
"Coq9",180,145,204
"Corin",3,2,2
"Coro1a",90,91,139
"Coro1c",1570,1023,1885
"Coro2a",32,28,22
"Coro2b",27,18,34
"Coro7",102,86,134
"Cort",7,18,16
"Cotl1",363,225,403
"Cox10",535,357,564
"Cox11",363,217,439
"Cox14",517,408,660
"Cox15",223,227,258
"Cox17",734,795,1197
"Cox18",241,234,314
"Cox19",202,155,330
"Cox20",261,312,465
"Cox4i1",3722,3506,5556
"Cox4i2",32,42,46
"Cox5a",2911,2600,4792
"Cox5b",1328,1148,2329
"Cox6a1",3429,3029,4847
"Cox6a2",0,0,0
"Cox6b1",2557,2418,4416
"Cox6b2",82,121,181
"Cox6c",2679,2101,5021
"Cox7a1",38,51,70
"Cox7a2",3785,3045,6757
"Cox7a2l",1219,816,1713
"Cox7b2",2,3,0
"Cox8b",0,0,0
"Cox8c",0,0,0
"Cp",0,0,0
"Cpa1",9,29,17
"Cpa2",68,125,112
"Cpa4",0,1,1
"Cpa5",0,1,0
"Cpa6",0,1,0
"Cpb1",1,0,0
"Cpb2",0,0,1
"Cpd",261,202,327
"Cpeb1",14,23,8
"Cpeb2",67,41,124
"Cpeb4",88,77,128
"Cped1",2,1,2
"Cphx3",0,0,0
"Cplx1",9,10,12
"Cplx2",49,64,78
"Cplx3",8,17,6
"Cplx4",0,0,2
"Cpm",144,133,142
"Cpn1",19,25,25
"Cpn2",0,0,0
"Cpne1;Rbm12",1156,794,1811
"Cpne2",43,27,45
"Cpne3",711,383,750
"Cpne4",8,4,12
"Cpne5",19,33,18
"Cpne6",0,2,1
"Cpne8",17,19,15
"Cpne9",7,9,9
"Cpped1",104,71,119
"Cpq",4,8,17
"Cps1",0,0,0
"Cpsf1",642,577,947
"Cpsf2",1436,1071,1678
"Cpsf3",916,799,1262
"Cpsf3l",623,571,953
"Cpsf4",687,457,929
"Cpsf4l",5,25,11
"Cpsf6",1473,1090,2548
"Cpsf7",467,274,800
"Cpt1a",25,22,42
"Cpt1b",27,25,20
"Cpt1c",44,47,66
"Cpt2",327,249,363
"Cptp",122,117,136
"Cpvl",0,0,0
"Cpxcr1",0,0,0
"Cpxm1",70,75,72
"Cpxm2",9,13,12
"Cpz",0,2,0
"Cr1l",329,321,481
"Cr2",5,7,8
"Crabp1",457,705,676
"Crabp2",121,215,230
"Cracr2a",0,1,1
"Cracr2b",24,32,24
"Cradd",55,53,85
"Cramp1l",370,302,583
"Crat",98,49,114
"Crb1",0,0,0
"Crb2",167,133,184
"Crb3",156,123,231
"Crbn",314,217,467
"Crcp",566,439,699
"Crct1",2,1,0
"Creb1",882,512,1342
"Creb3",155,84,180
"Creb3l1",88,84,89
"Creb3l3",38,35,34
"Creb3l4",26,30,39
"Crebbp",880,601,943
"Crebl2",2,5,3
"Crebrf",158,114,315
"Crebzf",349,148,588
"Creg1",114,85,151
"Creg2",1,1,0
"Creld1",73,56,73
"Creld2",493,353,573
"Crem",51,39,47
"Crh",0,1,1
"Crhbp",5,11,2
"Crhr1",0,1,0
"Crhr2",9,2,3
"Crim1",116,81,107
"Crip1",124,185,276
"Crip3",1,1,0
"Cript",679,480,1056
"Crisp1",0,0,0
"Crisp2",1,1,0
"Crisp3",0,0,0
"Crisp4",0,0,0
"Crispld1",91,114,97
"Crispld2",25,39,14
"Crk",1058,578,1626
"Crkl",686,444,1097
"Crlf1",32,36,46
"Crlf2",44,37,27
"Crlf3",459,346,722
"Crls1",440,331,593
"Crmp1",359,328,496
"Crnde",36,51,62
"Crnkl1",630,498,875
"Crnn",0,0,0
"Crocc",95,111,108
"Crocc2",1,4,3
"Crot",329,241,500
"Crp",0,0,0
"Crtac1",3,7,2
"Crtam",0,0,1
"Crtap",184,124,233
"Crtc1",45,42,58
"Crtc2",152,74,207
"Crtc3",78,51,74
"Crx",2,6,2
"Crxos",4,1,7
"Cry1",306,197,421
"Cryaa",0,0,0
"Cryab",18,19,27
"Cryba1",0,1,1
"Cryba2",0,2,0
"Cryba4",0,2,3
"Crybb1",0,0,0
"Crybb2",0,0,0
"Crybb3",3,7,4
"Crybg3",140,120,119
"Cryga",0,1,1
"Crygb",1,3,0
"Crygc",0,0,1
"Crygd",0,0,0
"Cryge",0,0,0
"Crygf",0,0,0
"Crygn",2,16,3
"Crygs",0,1,0
"Cryl1",41,53,45
"Crym",42,16,40
"Cryz",183,146,219
"Cryzl1",260,218,289
"Csad",112,95,117
"Csdc2",9,5,7
"Csde1",3356,2761,4300
"Cse1l",2562,2070,4003
"Csf1",17,24,12
"Csf2",0,0,0
"Csf2ra",67,105,33
"Csf3",0,0,0
"Csf3r",1,0,2
"Csgalnact1",15,3,8
"Csgalnact2",38,39,35
"Csk",552,385,661
"Csl",0,1,0
"Csmd1",0,1,2
"Csmd2",2,6,9
"Csmd2os",0,0,0
"Csmd3",0,1,0
"Csn1s1",0,0,0
"Csn1s2a",0,0,1
"Csn1s2b",0,0,0
"Csn2",0,0,0
"Csn3",2,0,0
"Csnk1a1",2887,2334,3739
"Csnk1d",1509,1026,2074
"Csnk1e",871,698,1120
"Csnk1g3",674,499,898
"Csnk2a1",1276,943,1607
"Csnk2a2",1763,1160,2019
"Csnk2b;Ly6g5b",2270,1701,3399
"Csnka2ip",0,0,0
"Cspg4",4,4,2
"Cspg5",9,18,9
"Cspp1",311,280,331
"Csprs",0,0,0
"Csrnp1",126,82,137
"Csrnp2",73,50,113
"Csrnp3",21,50,30
"Csrp1",233,186,214
"Csrp2",1080,1048,1227
"Csrp2bp",610,446,773
"Csrp3",1,4,4
"Cst10",0,0,0
"Cst11",0,0,0
"Cst12",0,0,0
"Cst13",0,0,0
"Cst3",1513,1408,2371
"Cst6",0,0,1
"Cst7",0,0,0
"Cst8",0,0,0
"Cst9",0,0,0
"Csta1",0,0,1
"Cstad",0,5,1
"Cstb",991,785,1466
"Cstf1",393,352,487
"Cstf2t",477,330,712
"Cstf3",566,484,861
"Cstl1",0,0,0
"Ctag2",0,0,0
"Ctage5",859,520,950
"Ctbp1",1093,769,1499
"Ctbp2",1264,773,1612
"Ctbs",65,88,45
"Ctc1",295,305,366
"Ctcfl",0,1,2
"Ctdnep1",480,347,638
"Ctdp1",352,206,495
"Ctdsp1",247,226,289
"Ctdspl",291,140,300
"Ctdspl2",518,365,810
"Ctf1",33,25,55
"Ctf2",0,0,0
"Ctgf",131,136,206
"Cth",278,266,564
"Cthrc1",105,130,186
"Ctif",32,22,43
"Ctla2a",11,10,11
"Ctla2b",3,9,4
"Ctla4",0,0,1
"Ctnna2",8,17,21
"Ctnna3",0,0,0
"Ctnnal1",429,248,482
"Ctnnbip1",502,386,655
"Ctnnbl1",683,628,895
"Ctnnd1",1229,1069,1523
"Ctnnd2",27,21,33
"Ctns",73,63,127
"Ctps",1145,930,1508
"Ctps2",232,220,359
"Ctr9",725,577,878
"Ctrc",0,0,0
"Ctrcos",0,0,0
"Ctrl",3,4,8
"Cts3",0,0,0
"Cts6",0,0,0
"Cts7",0,0,0
"Cts8",2,12,4
"Cts8-ps",0,0,0
"Ctsa",532,463,617
"Ctsb",1398,846,1554
"Ctsc",336,275,692
"Ctsd",1029,736,1099
"Ctse",2,2,2
"Ctsf",45,62,72
"Ctsg",0,1,0
"Ctsh",213,164,286
"Ctsj",0,0,0
"Ctsk",4,1,4
"Ctsl",3086,2342,4274
"Ctsll3",0,0,0
"Ctsm",0,0,0
"Ctso",12,23,1
"Ctsq",0,0,0
"Ctsr",0,0,0
"Ctss",1,1,0
"Ctsw",0,2,1
"Ctsz",779,609,804
"Cttnbp2",53,38,76
"Cttnbp2nl",335,221,416
"Ctu1",146,75,176
"Ctu2",358,273,440
"Ctxn1",207,170,368
"Ctxn2",0,0,0
"Ctxn3",1,0,0
"Cubn",382,403,464
"Cuedc2",367,385,481
"Cul1",2363,1699,2932
"Cul2",748,535,1035
"Cul3",1838,1181,2643
"Cul5",1060,763,1238
"Cul7",576,399,631
"Cul9",6,11,9
"Cuta",825,701,1186
"Cutal",13,11,10
"Cutc",71,88,93
"Cux1",306,265,379
"Cux2",3,4,7
"Cuzd1",0,0,1
"Cwc15",1778,1563,2739
"Cwc22",672,473,779
"Cwc25",352,253,447
"Cwf19l1",234,253,307
"Cwf19l2",542,436,580
"Cwh43",0,0,4
"Cx3cl1",29,32,44
"Cx3cr1",0,2,0
"Cxadr",624,444,859
"Cxcl1",3,2,4
"Cxcl10",6,8,1
"Cxcl11",2,0,1
"Cxcl12",463,303,522
"Cxcl13",0,0,0
"Cxcl14",46,20,21
"Cxcl15",0,0,0
"Cxcl16",30,26,37
"Cxcl17",0,1,1
"Cxcl2",0,0,0
"Cxcl3",0,0,0
"Cxcl5",4,4,6
"Cxcl9",0,0,0
"Cxcr1",0,0,0
"Cxcr2",17,8,8
"Cxcr3",0,0,0
"Cxcr4",189,160,323
"Cxcr5",1,0,0
"Cxcr6",0,0,1
"Cxx1a",47,48,65
"Cxx1b",238,310,355
"Cxx1c",78,90,131
"Cxxc4",87,128,61
"Cxxc5",1464,1113,1457
"Cyb561",87,113,133
"Cyb561a3",40,48,59
"Cyb561d1",40,37,47
"Cyb561d2",139,77,163
"Cyb5a",961,1121,1842
"Cyb5b",881,669,1079
"Cyb5d1",3,4,7
"Cyb5d2",21,42,32
"Cyb5r1",307,300,338
"Cyb5r2",55,79,17
"Cyb5r3;NADH-cytochrome b5 reductase",806,715,1031
"Cyb5r4",250,253,382
"Cyb5rl",27,41,31
"Cybb",0,0,0
"Cybrd1",18,16,8
"Cyct",30,58,47
"Cyfip1",975,788,1349
"Cyfip2",90,120,150
"Cygb",1,5,2
"Cyhr1",345,269,479
"Cylc1",0,0,0
"Cylc2",0,0,1
"Cyld",137,153,160
"Cym",0,0,1
"Cyp11a1",15,4,8
"Cyp11b1",0,0,0
"Cyp11b2",0,0,0
"Cyp17a1",3,0,2
"Cyp19a1",0,0,0
"Cyp1a1",12,7,17
"Cyp1a2",0,0,0
"Cyp1b1",10,10,7
"Cyp20a1",275,215,320
"Cyp21a1",0,0,0
"Cyp24a1",6,3,3
"Cyp26a1",694,465,1109
"Cyp26b1",30,26,12
"Cyp26c1",0,1,0
"Cyp27a1",27,43,26
"Cyp27b1",1,6,5
"Cyp2a12",0,0,0
"Cyp2a22",0,0,0
"Cyp2a4",1,0,0
"Cyp2a5",0,0,1
"Cyp2ab1",0,0,0
"Cyp2b10",0,0,0
"Cyp2b13",0,0,0
"Cyp2b19",0,0,0
"Cyp2b23",0,1,4
"Cyp2b9",0,0,0
"Cyp2c29;Cyp2c53-ps",0,0,0
"Cyp2c37",0,0,0
"Cyp2c38",0,0,0
"Cyp2c39",0,0,0
"Cyp2c40",1,0,0
"Cyp2c44",1,0,0
"Cyp2c50",0,1,0
"Cyp2c54",0,0,1
"Cyp2c55",2,3,7
"Cyp2c65",1,0,0
"Cyp2c66",0,0,0
"Cyp2c67",0,0,0
"Cyp2c68",0,0,0
"Cyp2c69",0,0,0
"Cyp2c70",0,0,0
"Cyp2d10",0,0,0
"Cyp2d12",0,0,0
"Cyp2d13",0,0,0
"Cyp2d22",12,14,12
"Cyp2d26",4,7,3
"Cyp2d34",0,0,0
"Cyp2d37-ps",0,0,0
"Cyp2d40",0,0,0
"Cyp2d9",0,0,1
"Cyp2e1",0,0,1
"Cyp2f2",0,0,0
"Cyp2g1",0,0,0
"Cyp2j11",0,0,0
"Cyp2j12",0,0,0
"Cyp2j13",2,1,0
"Cyp2j5",0,0,0
"Cyp2j6",39,55,51
"Cyp2j8",0,0,0
"Cyp2j9",13,22,11
"Cyp2r1",6,5,8
"Cyp2s1",52,41,55
"Cyp2t4",0,0,0
"Cyp2u1",1,6,5
"Cyp2w1",0,0,0
"Cyp39a1",47,42,80
"Cyp3a11",0,0,0
"Cyp3a13",0,2,0
"Cyp3a16",1,0,0
"Cyp3a25",0,0,0
"Cyp3a41b",0,0,0
"Cyp3a44",0,0,0
"Cyp3a57",0,0,1
"Cyp3a59",0,0,0
"Cyp46a1",1,3,2
"Cyp4a10;Cyp4a31;Cyp4a32",1,1,0
"Cyp4a12a",0,0,2
"Cyp4a12b",0,1,0
"Cyp4a14",0,0,0
"Cyp4a29",0,0,0
"Cyp4a30b",0,0,1
"Cyp4b1",1,0,1
"Cyp4b1-ps2",0,0,0
"Cyp4f13",11,11,13
"Cyp4f14",0,0,0
"Cyp4f15",26,27,27
"Cyp4f16",50,50,58
"Cyp4f17",6,2,3
"Cyp4f18",0,0,0
"Cyp4f37",0,0,0
"Cyp4f39",2,2,2
"Cyp4f40",0,0,0
"Cyp4f41-ps",4,4,3
"Cyp4v3;Klkb1",34,28,52
"Cyp4x1",1,0,0
"Cyp4x1os",0,3,0
"Cyp51",538,406,711
"Cyp7a1",0,0,0
"Cyp7b1",16,8,19
"Cyp8b1",0,0,0
"Cypt1",0,0,0
"Cypt12",1,0,0
"Cypt14",0,0,0
"Cypt15",0,0,0
"Cypt2",0,0,0
"Cypt3",1,4,1
"Cypt4",0,0,0
"Cyr61",272,292,377
"Cys1",2,4,3
"Cysltr1",17,2,13
"Cysltr2",0,0,0
"Cysrt1",0,1,0
"Cystm1",242,148,217
"Cyth4",2,3,1
"Cytl1",6,4,3
"D10Jhu81e",180,150,211
"D10Wsu102e",830,528,1127
"D11Wsu47e",213,168,216
"D13Ertd608e",0,0,0
"D14Ertd670e",0,0,0
"D16Ertd472e",339,230,427
"D16Ertd519e",0,0,0
"D17Ertd648e",0,0,0
"D17H6S53E",77,55,62
"D17Wsu92e",798,556,929
"D1Ertd622e",91,77,127
"D1Pas1",3,7,6
"D2Wsu81e",589,450,720
"D2hgdh",112,111,114
"D3Ertd254e",202,133,283
"D3Ertd751e",31,54,38
"D4Ertd617e;Ebna1bp2",1972,1252,2582
"D5Ertd577e",0,0,0
"D5Ertd605e",14,17,15
"D5Ertd615e",0,0,0
"D6Ertd474e",0,0,2
"D6Ertd527e",1,0,4
"D6Wsu163e",133,77,116
"D7Ertd143e",19,10,1
"D7Ertd443e",4,4,4
"D8Ertd738e",1476,1322,2311
"D8Ertd82e",243,154,279
"DD467602",0,0,0
"DQ072380;DQ072382",0,0,0
"DQ072386",0,0,0
"DQ072388;DQ072390;DQ072391",0,0,3
"DQ267101;Rian",119,99,158
"DQ267102",1,1,0
"DQ284430",0,0,0
"DQ452619;Z86032",0,0,0
"DQ539900",0,0,0
"DQ539905",0,0,0
"DQ539950",0,0,0
"DQ539964",0,0,0
"DQ539992",0,0,0
"DQ540010",0,0,0
"DQ540026",0,0,0
"DQ540032",0,0,0
"DQ540035",0,0,0
"DQ540050",0,0,0
"DQ540060",0,0,0
"DQ540068",0,0,0
"DQ540071",0,0,0
"DQ540096",0,0,0
"DQ540102",0,0,0
"DQ540129",0,0,0
"DQ540131",0,0,0
"DQ540135",0,0,0
"DQ540160",0,0,0
"DQ540199",0,0,0
"DQ540208",0,0,0
"DQ540240",0,0,0
"DQ540256",0,0,0
"DQ540260",0,0,0
"DQ540279",0,0,0
"DQ540316",0,0,0
"DQ540318",0,0,0
"DQ540346",0,0,0
"DQ540348",0,0,0
"DQ540358",0,0,0
"DQ540360",0,0,0
"DQ540368",0,0,0
"DQ540370",0,0,0
"DQ540376",0,0,0
"DQ540380",0,0,0
"DQ540412",7,0,1
"DQ540417",0,0,0
"DQ540432",0,0,0
"DQ540451",0,0,0
"DQ540480",0,0,0
"DQ540490",0,0,0
"DQ540512",0,0,0
"DQ540524",0,0,0
"DQ540543",0,0,0
"DQ540566",0,0,0
"DQ540595",0,0,0
"DQ540607",0,0,0
"DQ540623",0,0,0
"DQ540649",0,0,0
"DQ540688",0,0,0
"DQ540716",0,0,0
"DQ540736",0,0,0
"DQ540739",0,0,0
"DQ540775",0,0,0
"DQ540779",0,0,0
"DQ540809",0,0,0
"DQ540812",0,0,0
"DQ540877",0,0,0
"DQ540889",0,0,0
"DQ540891",0,0,0
"DQ540901",0,0,0
"DQ540907",0,0,0
"DQ540913",0,0,0
"DQ540925",0,0,0
"DQ540943",0,0,0
"DQ540970",0,0,0
"DQ540995",0,0,0
"DQ541037",0,0,0
"DQ541050",0,0,0
"DQ541061",0,0,0
"DQ541066",0,0,0
"DQ541070",0,0,0
"DQ541082",0,0,0
"DQ541173",0,0,0
"DQ541184",0,0,0
"DQ541189",0,0,0
"DQ541191",0,0,0
"DQ541196",0,0,0
"DQ541248",0,0,0
"DQ541250",0,0,0
"DQ541300",0,0,0
"DQ541362",0,0,0
"DQ541369",0,0,0
"DQ541385",0,0,0
"DQ541404",0,0,0
"DQ541423",0,0,0
"DQ541435",0,0,0
"DQ541450",0,0,0
"DQ541469",0,0,0
"DQ541478",0,0,0
"DQ541485",0,0,0
"DQ541493",0,0,0
"DQ541502",0,0,0
"DQ541504",0,0,0
"DQ541511",0,0,0
"DQ541527",0,0,0
"DQ541617",0,0,0
"DQ541655",0,0,0
"DQ541657",0,0,0
"DQ541658",0,0,0
"DQ541699",0,0,0
"DQ541735",0,0,0
"DQ541751",0,0,0
"DQ541755",0,0,0
"DQ541757",0,0,0
"DQ541762",0,0,0
"DQ541765",0,0,0
"DQ541766",0,0,0
"DQ541794",0,0,0
"DQ541929",0,0,0
"DQ541951",0,0,0
"DQ541956",0,0,0
"DQ541958",0,0,0
"DQ541976",0,0,0
"DQ542029",0,0,0
"DQ542042",0,0,0
"DQ542047",0,0,0
"DQ542048",0,0,0
"DQ542056",0,0,0
"DQ542114",0,0,0
"DQ542143",0,0,0
"DQ542153",0,0,0
"DQ542172",0,0,0
"DQ542178",0,0,0
"DQ542182",0,0,0
"DQ542183",0,0,0
"DQ542276",0,0,0
"DQ542298",0,0,0
"DQ542302",0,0,0
"DQ542306",0,0,0
"DQ542353",0,0,0
"DQ542355",0,0,0
"DQ542393",0,0,0
"DQ542397",0,0,0
"DQ542398",0,0,0
"DQ542428",0,0,0
"DQ542539",0,0,0
"DQ542558",0,0,0
"DQ542584",0,0,0
"DQ542585",0,0,0
"DQ542586",0,0,0
"DQ542588",0,0,0
"DQ542609",0,0,0
"DQ542709",0,0,0
"DQ542718",0,0,0
"DQ542724",0,0,0
"DQ542726",0,0,0
"DQ542743",0,0,0
"DQ542751",0,0,0
"DQ542758",0,0,0
"DQ542762",0,0,0
"DQ542763",0,0,0
"DQ542774",0,0,0
"DQ542776",0,0,0
"DQ542779",0,0,0
"DQ542808",0,0,0
"DQ542809",0,0,0
"DQ542828",0,0,0
"DQ542873",0,0,0
"DQ542896",0,0,0
"DQ542938",0,0,0
"DQ542941",0,0,0
"DQ542949",2,0,0
"DQ542957",0,0,0
"DQ542960",0,0,0
"DQ542980",0,0,0
"DQ542984",0,0,0
"DQ543008",1,0,0
"DQ543012",0,0,0
"DQ543022",0,0,0
"DQ543031",0,0,0
"DQ543037",0,0,0
"DQ543040",0,0,0
"DQ543075",0,0,0
"DQ543098",0,0,0
"DQ543127",0,0,0
"DQ543164",0,0,0
"DQ543173",0,0,0
"DQ543186",0,0,0
"DQ543219",0,0,0
"DQ543221",0,0,0
"DQ543265",0,0,0
"DQ543271",0,0,0
"DQ543350",0,0,0
"DQ543356",0,0,0
"DQ543391",0,0,0
"DQ543396",0,0,0
"DQ543397",0,0,0
"DQ543428",0,0,0
"DQ543434",0,0,0
"DQ543466",0,0,0
"DQ543495",0,0,0
"DQ543507",0,0,0
"DQ543550",0,0,0
"DQ543567",0,0,0
"DQ543630",0,0,0
"DQ543634",0,0,0
"DQ543686",0,0,0
"DQ543715",0,0,0
"DQ543750",0,0,0
"DQ543754",0,0,0
"DQ543761",0,0,0
"DQ543790",0,0,0
"DQ543797",0,0,0
"DQ543820",0,0,0
"DQ543835",0,0,0
"DQ543863",0,0,0
